time_5,language,tone,participant,script,sensor,sound_intensity_max,sound_intensity_min,sound_intensity_mean,sound_intensity_median,sound_intensity_std,sound_intensity_missing
160,en,bus,subject1,t1,sound_intensity,44.94975080483279,15.440680443502757,33.97397899613056,35.269850685599955,8.268859360385964,0.0
165,en,bus,subject1,t1,sound_intensity,47.82443956917726,18.86490725172482,32.41894925247262,31.97831693328903,8.415384077151549,0.0
170,en,bus,subject1,t1,sound_intensity,47.6419108202913,17.781512503836435,34.16037732420093,36.02602520420256,7.997684426384743,0.0
175,en,bus,subject1,t1,sound_intensity,49.60936692468327,15.314789170422552,31.467608256429404,28.830933585756902,9.439252311176292,0.0
180,en,bus,subject1,t1,sound_intensity,48.04357547466762,17.075701760979364,34.651823704511884,36.36588183729842,9.140469906832807,0.0
185,en,bus,subject1,t1,sound_intensity,47.35423230376586,21.67317334748176,34.63433592613953,34.122925093230464,8.012963206019853,0.0
190,en,bus,subject1,t1,sound_intensity,48.07724398699649,20.60697840353612,36.06429965108323,37.44292983122676,7.995270091821808,0.0
195,en,bus,subject1,t1,sound_intensity,47.20994000624341,22.71841606536499,34.83139306824571,35.5303301620244,6.726603612837161,0.0
200,en,bus,subject1,t1,sound_intensity,47.14589587969232,16.532125137753436,34.5456785084003,37.046651854545296,8.994133031435203,0.0
205,en,bus,subject1,t1,sound_intensity,46.771413877498006,17.075701760979364,32.86507139139832,32.28656958108935,8.661802584399268,0.0
210,en,bus,subject1,t1,sound_intensity,50.53604658576924,19.68482948553935,33.657129215643124,34.27323786357248,8.211672177099121,0.0
215,en,bus,subject1,t1,sound_intensity,49.41829335096693,16.020599913279625,31.362288463686316,29.804578922761,9.838703392061005,0.0
220,en,bus,subject1,t1,sound_intensity,47.48304340308302,17.708520116421443,32.99417321419279,33.436055081041715,8.439853291234702,0.0
225,en,bus,subject1,t1,sound_intensity,47.64908060184453,19.86771734266245,34.97496556263221,35.599066250361126,8.030547705226876,0.0
230,en,bus,subject1,t1,sound_intensity,49.85902275553616,19.637878273455552,35.60577953961032,37.28516104759767,8.720495289408133,0.0
235,en,bus,subject1,t1,sound_intensity,47.28012706661228,17.92391689498254,33.3032310613267,33.77306251068199,8.348763940070686,0.0
240,en,bus,subject1,t1,sound_intensity,48.300430523703646,16.532125137753436,34.97678594153617,35.30327789778086,8.955694016855947,0.0
245,en,bus,subject1,t1,sound_intensity,48.6975959478241,18.129133566428557,28.951767480959425,24.683473304121573,8.85094789209623,0.0
250,en,bus,subject1,t1,sound_intensity,22.55272505103306,17.92391689498254,19.53705015170935,18.8357793304109,2.057066055037424,0.0
0,en,bus,subject1,t3,sound_intensity,54.56753081211508,17.634279935629372,31.878362044941877,27.17670503002262,10.648086015200812,0.0
5,en,bus,subject1,t3,sound_intensity,50.93130890716153,22.90034611362518,40.25102608678434,38.64748335629659,7.482519533024967,0.0
10,en,bus,subject1,t3,sound_intensity,50.59892705588463,16.989700043360187,34.313626873898535,33.02330928684399,9.287040312544208,0.0
15,en,bus,subject1,t3,sound_intensity,53.9379273470366,17.323937598229687,37.694739701804366,39.7229542861114,9.458458517764358,0.0
20,en,bus,subject1,t3,sound_intensity,51.50925214104221,18.325089127062363,36.0891119833513,37.62678563727436,9.665877642772136,0.0
25,en,bus,subject1,t3,sound_intensity,49.59141602562334,17.323937598229687,35.025195483336326,36.76053124651872,8.226365188874563,0.0
30,en,bus,subject1,t3,sound_intensity,49.32286003349287,15.68201724066995,35.27816606014059,38.60996436757196,10.02424417483068,0.0
35,en,bus,subject1,t3,sound_intensity,49.91199485420423,19.54242509439325,37.329178458587485,39.395192526186186,8.476001124914307,0.0
40,en,bus,subject1,t3,sound_intensity,52.64874466421816,18.325089127062363,34.11344585740808,35.02017214827148,9.59106558020057,0.0
45,en,bus,subject1,t3,sound_intensity,48.94027914652088,18.97627091290441,36.19033354241184,37.8632543439007,9.07353194041757,0.0
50,en,bus,subject1,t3,sound_intensity,49.64042664542201,18.808135922807917,36.522348879505344,38.424220033576496,8.945976349837466,0.0
55,en,bus,subject1,t3,sound_intensity,49.25770901421773,20.96910013008056,35.437119758874346,36.110857334148726,8.299344280026855,0.0
60,en,bus,subject1,t3,sound_intensity,50.11236242363469,20.5307844348342,35.306786576385534,37.18418641829656,9.479432991690278,0.0
65,en,bus,subject1,t3,sound_intensity,52.78685022725684,20.293837776852097,34.83853469389015,35.26210003841664,9.009049497995846,0.0
