time_5,language,tone,participant,script,sensor,pitch_max,pitch_min,pitch_mean,pitch_median,pitch_std,pitch_missing
5,ch,bus,subject1,t1,pitch,3576.09375,0.0,268.12990713713367,119.02994791666667,683.5974967435491,30.666666666666664
10,ch,bus,subject1,t1,pitch,601.328125,0.0,138.5203656462585,106.875,186.50876264983722,34.66666666666667
15,ch,bus,subject1,t1,pitch,3329.6875,0.0,163.17148580037858,117.39013671875,435.6711372781678,22.666666666666664
20,ch,bus,subject1,t1,pitch,349.84375,0.0,100.21779477443106,112.82552083333334,94.12081964535261,25.333333333333336
25,ch,bus,subject1,t1,pitch,386.875,0.0,83.44147827266501,108.41048177083334,95.15362366645367,17.333333333333336
30,ch,bus,subject1,t1,pitch,632.8723958333333,0.0,178.82984597271536,111.84244791666666,168.65023180860356,24.0
35,ch,bus,subject1,t1,pitch,3735.46875,0.0,158.0239659787379,103.69140625,486.59651192933205,21.333333333333336
40,ch,bus,subject1,t1,pitch,463.7388392857143,0.0,117.44385368441357,41.26157924107143,151.7608441311532,28.000000000000004
45,ch,bus,subject1,t1,pitch,394.6875,0.0,103.79868157826469,100.06618923611111,116.5363875748738,22.666666666666664
50,ch,bus,subject1,t1,pitch,521.0658482142858,0.0,99.97809511753196,71.77734375,131.6698219470175,20.0
55,ch,bus,subject1,t1,pitch,619.96875,0.0,136.42881577315683,126.30859375,158.39859027125206,24.0
60,ch,bus,subject1,t1,pitch,3768.4375,0.0,151.30692270226348,70.81808035714286,499.0050247118051,24.0
65,ch,bus,subject1,t1,pitch,551.9103422619048,0.0,117.03648355528652,0.0,159.56228976744714,21.333333333333336
70,ch,bus,subject1,t1,pitch,414.140625,0.0,127.68692074396209,124.86072358630952,106.87975900078065,22.666666666666664
75,ch,bus,subject1,t1,pitch,423.4375,0.0,67.30287654496323,0.0,89.11844890180531,16.0
80,ch,bus,subject1,t1,pitch,536.225818452381,0.0,107.81418230052438,115.42561848958334,117.36661941234361,25.333333333333336
85,ch,bus,subject1,t1,pitch,386.71875,0.0,90.4343779251872,112.56184895833333,93.08681543511159,17.333333333333336
90,ch,bus,subject1,t1,pitch,3483.28125,0.0,232.6285049465388,115.07142857142858,632.9616870156382,28.000000000000004
95,ch,bus,subject1,t1,pitch,590.703125,0.0,104.38665562792741,113.046875,114.01561352438503,18.666666666666668
100,ch,bus,subject1,t1,pitch,520.4073660714286,0.0,114.94827830885939,84.634765625,140.56762292521753,17.333333333333336
105,ch,bus,subject1,t1,pitch,431.25,0.0,77.26778679660623,15.012381417410715,99.58990252430463,22.666666666666664
110,ch,bus,subject1,t1,pitch,522.5390625,0.0,116.32470263863121,126.96747448979592,116.69284417452577,26.666666666666668
115,ch,bus,subject1,t1,pitch,428.49609375,0.0,108.08285646645021,99.33203125,123.13288627131601,26.666666666666668
120,ch,bus,subject1,t1,pitch,3163.75,0.0,146.92025816770916,0.0,424.9897984631817,21.333333333333336
125,ch,bus,subject1,t1,pitch,385.625,0.0,84.01977941834178,105.50625,92.63066866865866,18.666666666666668
130,ch,bus,subject1,t1,pitch,391.71875,0.0,93.48517043053718,119.03537326388889,96.0257108380016,28.000000000000004
135,ch,bus,subject1,t1,pitch,468.0873325892857,0.0,115.00993944991788,113.75130208333333,99.68860337098977,22.666666666666664
140,ch,bus,subject1,t1,pitch,686.40625,0.0,140.9529120807128,107.8125,154.74677671066095,29.333333333333332
145,ch,bus,subject1,t1,pitch,485.46875,0.0,85.14813925916117,82.15494791666666,113.85813782241962,21.333333333333336
150,ch,bus,subject1,t1,pitch,194.501953125,0.0,95.74655629691902,118.24332682291667,65.48669406533068,25.333333333333336
155,ch,bus,subject1,t1,pitch,3737.96875,0.0,156.70329658240985,114.9614025297619,475.63011420895185,17.333333333333336
160,ch,bus,subject1,t1,pitch,369.53125,0.0,105.95630680194041,108.27604166666669,86.60037209678198,21.333333333333336
165,ch,bus,subject1,t1,pitch,427.890625,0.0,68.73860967726935,0.0,105.2928763071395,14.666666666666666
170,ch,bus,subject1,t1,pitch,38.525390625,0.0,1.92626953125,0.0,8.5033792277357,2.4390243902439024
0,ch,casual,subject1,t1,pitch,341.171875,0.0,68.79915197649572,0.0,92.47245961053395,14.473684210526317
5,ch,casual,subject1,t1,pitch,445.234375,0.0,120.6782920900041,105.05338541666666,128.3430792775197,22.666666666666664
10,ch,casual,subject1,t1,pitch,1113.90625,0.0,144.18791603555482,125.60980902777777,212.38483107457873,25.333333333333336
15,ch,casual,subject1,t1,pitch,752.9296875,0.0,87.41225417179136,0.0,139.19506201369293,28.000000000000004
20,ch,casual,subject1,t1,pitch,441.09375,0.0,158.3357384476112,142.1875,117.70473935108834,30.666666666666664
25,ch,casual,subject1,t1,pitch,402.890625,0.0,104.2963788868412,120.5264136904762,107.45185924537027,25.333333333333336
30,ch,casual,subject1,t1,pitch,524.453125,0.0,131.67608478760823,124.70362103174602,130.21652963719606,26.666666666666668
35,ch,casual,subject1,t1,pitch,522.34375,0.0,134.82630415386674,120.63639322916669,132.03524713942667,26.666666666666668
40,ch,casual,subject1,t1,pitch,3037.65625,0.0,235.36647809586796,116.49251302083334,540.7299043132069,16.0
45,ch,casual,subject1,t1,pitch,515.390625,0.0,146.56494794238262,130.14346168154762,129.4347426302757,17.333333333333336
50,ch,casual,subject1,t1,pitch,546.640625,0.0,141.24352073630115,121.53672607774169,130.23998571482915,25.333333333333336
55,ch,casual,subject1,t1,pitch,522.2265625,0.0,74.94786412093086,81.28776041666667,98.15555571079219,21.333333333333336
60,ch,casual,subject1,t1,pitch,1875.9375,0.0,125.05457618279212,103.6796875,258.14040332344933,22.666666666666664
65,ch,casual,subject1,t1,pitch,499.453125,0.0,141.4056514402636,116.60986793154763,136.49840890269294,25.333333333333336
70,ch,casual,subject1,t1,pitch,477.65625,0.0,90.11957468849434,104.90397135416667,97.23918069770609,17.333333333333336
75,ch,casual,subject1,t1,pitch,573.5357142857142,0.0,148.86299153894512,137.29166666666669,149.21469973370384,32.0
80,ch,casual,subject1,t1,pitch,592.4404761904761,0.0,107.09086736908306,123.9488002232143,115.03783874628799,25.333333333333336
85,ch,casual,subject1,t1,pitch,516.328125,0.0,108.89394193549815,120.5419921875,112.53064575321682,25.333333333333336
90,ch,casual,subject1,t1,pitch,3760.78125,0.0,229.5800205498866,101.07682291666667,693.4462791603689,25.333333333333336
