time_1.5,language,tone,participant,script,sensor,pitch_max,pitch_min,pitch_mean,pitch_median
76.5,ch,bus,jack,t3,pitch,491.796875,0.0,223.13397610780422,127.99572172619047
78.0,ch,bus,jack,t3,pitch,237.7473958333333,0.0,39.01662498622134,0.0
79.5,ch,bus,jack,t3,pitch,361.484375,0.0,117.18325109649123,112.744140625
81.0,ch,bus,jack,t3,pitch,608.046875,0.0,139.8182545319264,106.34114583333334
82.5,ch,bus,jack,t3,pitch,213.4720982142857,0.0,63.26857669508133,0.0
84.0,ch,bus,jack,t3,pitch,175.703125,0.0,87.5804609179198,111.42252604166666
85.5,ch,bus,jack,t3,pitch,3717.96875,0.0,424.2420706463675,106.90972222222224
87.0,ch,bus,jack,t3,pitch,181.23046875,0.0,94.19026692708334,128.39925130208334
88.5,ch,bus,jack,t3,pitch,377.96875,0.0,124.6734153091061,143.17491319444446
90.0,ch,bus,jack,t3,pitch,543.1901041666667,0.0,100.06744675409226,107.4301237422052
91.5,ch,bus,jack,t3,pitch,202.9296875,0.0,59.84287062625976,50.703125
93.0,ch,bus,jack,t3,pitch,604.9479166666667,107.900390625,210.50915638065123,131.875
94.5,ch,bus,jack,t3,pitch,426.875,0.0,131.1898949032738,105.31087239583333
96.0,ch,bus,jack,t3,pitch,162.8125,0.0,52.38842294730392,0.0
97.5,ch,bus,jack,t3,pitch,136.7578125,0.0,55.959103732638894,53.310546875
99.0,ch,bus,jack,t3,pitch,610.859375,0.0,189.53533496732027,159.62890625
100.5,ch,bus,jack,t3,pitch,492.890625,0.0,101.03650467689218,122.1875
102.0,ch,bus,jack,t3,pitch,161.40625,0.0,83.29072094298245,113.26171875
103.5,ch,bus,jack,t3,pitch,269.4921875,0.0,59.8440858004386,0.0
105.0,ch,bus,jack,t3,pitch,178.203125,0.0,94.37251911181139,132.29068797657953
106.5,ch,bus,jack,t3,pitch,168.125,102.1875,130.1320720996732,131.796875
108.0,ch,bus,jack,t3,pitch,668.55859375,0.0,125.5369884672619,107.890625
109.5,ch,bus,jack,t3,pitch,153.6328125,0.0,112.86944809173669,112.32421875
111.0,ch,bus,jack,t3,pitch,341.875,0.0,67.92069284539474,0.0
112.5,ch,bus,jack,t3,pitch,410.9375,0.0,151.9563196575831,125.98122829861111
114.0,ch,bus,jack,t3,pitch,312.578125,0.0,61.35381944444445,0.0
115.5,ch,bus,jack,t3,pitch,347.34375,0.0,118.98268922152194,122.40104166666669
117.0,ch,bus,jack,t3,pitch,523.5885416666667,0.0,130.65296499531527,107.35026041666669
118.5,ch,bus,jack,t3,pitch,492.578125,0.0,62.82084147135417,0.0
120.0,ch,bus,jack,t3,pitch,328.75,0.0,85.4780372471616,113.5373263888889
121.5,ch,bus,jack,t3,pitch,259.53125,0.0,136.97878689236111,129.57747395833334
123.0,ch,bus,jack,t3,pitch,292.96875,0.0,117.83958100818452,121.1083984375
124.5,ch,bus,jack,t3,pitch,816.60546875,0.0,133.61878319035947,120.71424696180556
126.0,ch,bus,jack,t3,pitch,219.00390625,0.0,65.40789388020833,96.97200520833333
127.5,ch,bus,jack,t3,pitch,293.515625,0.0,63.867380631977674,0.0
129.0,ch,bus,jack,t3,pitch,459.3563988095238,0.0,140.3563988095238,128.15755208333331
130.5,ch,bus,jack,t3,pitch,638.75,0.0,134.15362811791383,111.01996527777776
132.0,ch,bus,jack,t3,pitch,173.13151041666669,0.0,75.04670965608466,0.0
133.5,ch,bus,jack,t3,pitch,248.4375,0.0,120.25152974436827,127.296875
135.0,ch,bus,jack,t3,pitch,254.21875,0.0,112.63025282948466,114.91543765943878
136.5,ch,bus,jack,t3,pitch,320.625,0.0,138.26511914615992,152.95572916666669
138.0,ch,bus,jack,t3,pitch,165.44791666666669,0.0,68.03044577205883,105.67708333333331
139.5,ch,bus,jack,t3,pitch,183.90625,69.89397321428572,142.11779462218914,146.69224330357144
141.0,ch,bus,jack,t3,pitch,583.203125,0.0,149.31644454656862,97.919921875
142.5,ch,bus,jack,t3,pitch,1003.5872395833331,0.0,155.57110223475354,128.90625
144.0,ch,bus,jack,t3,pitch,129.31163194444446,0.0,73.25258629493464,102.98958333333331
145.5,ch,bus,jack,t3,pitch,999.8958333333331,0.0,201.77561151413687,118.77604166666669
147.0,ch,bus,jack,t3,pitch,724.84375,0.0,158.85505952380953,113.22916666666666
148.5,ch,bus,jack,t3,pitch,443.984375,0.0,150.6374080882353,119.91796875
150.0,ch,bus,jack,t3,pitch,340.625,0.0,69.14859087823726,97.67057291666666
151.5,ch,bus,jack,t3,pitch,350.546875,0.0,80.44549304096638,0.0
153.0,ch,bus,jack,t3,pitch,503.046875,0.0,121.81571313421202,103.75325520833331
154.5,ch,bus,jack,t3,pitch,253.75,0.0,106.36858790391156,105.849609375
156.0,ch,bus,jack,t3,pitch,124.86979166666666,0.0,22.351613136574073,0.0
157.5,ch,bus,jack,t3,pitch,0.0,0.0,0.0,0.0
159.0,ch,bus,jack,t3,pitch,0.0,0.0,0.0,0.0
0.0,ch,bus,jack,t2,pitch,0.0,0.0,0.0,0.0
1.5,ch,bus,jack,t2,pitch,176.30859375,0.0,51.68876292293233,0.0
3.0,ch,bus,jack,t2,pitch,513.828125,0.0,105.50717288011695,0.0
4.5,ch,bus,jack,t2,pitch,407.96875,0.0,138.4291221697012,143.42447916666666
6.0,ch,bus,jack,t2,pitch,174.296875,0.0,106.21488222893323,119.677734375
7.5,ch,bus,jack,t2,pitch,139.5234375,0.0,45.65334903492647,0.0
9.0,ch,bus,jack,t2,pitch,483.046875,0.0,118.08986441798942,0.0
10.5,ch,bus,jack,t2,pitch,183.37890625,0.0,54.498012609649116,0.0
12.0,ch,bus,jack,t2,pitch,292.421875,0.0,126.29075520833334,142.96875
13.5,ch,bus,jack,t2,pitch,665.3125,0.0,158.94913930741566,60.120442708333336
15.0,ch,bus,jack,t2,pitch,293.28125,0.0,92.71584219625349,103.31403459821428
16.5,ch,bus,jack,t2,pitch,222.03125,0.0,106.01467412485829,119.8890625
18.0,ch,bus,jack,t2,pitch,601.2708333333333,0.0,46.193971256265655,0.0
19.5,ch,bus,jack,t2,pitch,601.2708333333333,0.0,105.33350728891092,97.69010416666666
21.0,ch,bus,jack,t2,pitch,194.5172991071429,0.0,23.947023809523806,0.0
22.5,ch,bus,jack,t2,pitch,210.7421875,0.0,116.28604611766582,115.59646045918366
24.0,ch,bus,jack,t2,pitch,663.83203125,0.0,156.35598754882812,130.5859375
25.5,ch,bus,jack,t2,pitch,161.953125,0.0,105.90916999937997,112.52604166666669
27.0,ch,bus,jack,t2,pitch,342.109375,0.0,162.02647569444443,136.63411458333331
28.5,ch,bus,jack,t2,pitch,136.25,0.0,69.17903645833334,116.23046875
30.0,ch,bus,jack,t2,pitch,246.5625,0.0,39.806640625,0.0
31.5,ch,bus,jack,t2,pitch,246.3671875,0.0,128.09271918402777,134.59743923611111
33.0,ch,bus,jack,t2,pitch,348.828125,0.0,130.66962563381833,153.63079737103175
34.5,ch,bus,jack,t2,pitch,312.1875,0.0,64.40831801470588,0.0
36.0,ch,bus,jack,t2,pitch,208.26785714285717,0.0,78.15070924789187,95.45524088541667
37.5,ch,bus,jack,t2,pitch,165.74544270833331,0.0,121.70333274609999,138.95182291666669
39.0,ch,bus,jack,t2,pitch,221.71875,0.0,102.32458095651455,120.3671875
40.5,ch,bus,jack,t2,pitch,228.9505208333333,0.0,38.06243146929824,0.0
42.0,ch,bus,jack,t2,pitch,193.515625,0.0,102.68584914434524,106.58900669642858
43.5,ch,bus,jack,t2,pitch,340.703125,0.0,113.95066307773108,116.61328125
45.0,ch,bus,jack,t2,pitch,824.1341145833333,85.42838541666666,242.34342669359407,126.13773406498017
46.5,ch,bus,jack,t2,pitch,201.484375,0.0,93.1753937251984,110.75613839285712
48.0,ch,bus,jack,t2,pitch,266.7578125,0.0,84.09917457217261,118.08642578124999
49.5,ch,bus,jack,t2,pitch,127.0138888888889,0.0,66.16235394620811,100.9823986235119
51.0,ch,bus,jack,t2,pitch,241.484375,0.0,95.4607421875,118.5625
52.5,ch,bus,jack,t2,pitch,142.28515625,0.0,49.08419323047201,0.0
54.0,ch,bus,jack,t2,pitch,3104.53125,0.0,407.771484375,263.3984375
55.5,ch,bus,jack,t2,pitch,267.265625,0.0,127.25618489583333,118.39525204613093
57.0,ch,bus,jack,t2,pitch,518.125,0.0,112.95032900855655,103.01595052083333
58.5,ch,bus,jack,t2,pitch,201.875,0.0,85.87513098338293,79.4140625
60.0,ch,bus,jack,t2,pitch,959.7200520833331,0.0,202.88264686082766,126.8359375
61.5,ch,bus,jack,t2,pitch,597.5,0.0,134.15568033854166,118.74023437499999
63.0,ch,bus,jack,t2,pitch,269.12109375,0.0,72.42426853553923,0.0
64.5,ch,bus,jack,t2,pitch,467.890625,0.0,105.40372721354167,0.0
66.0,ch,bus,jack,t2,pitch,489.53125,0.0,141.24316302910054,110.28971354166667
67.5,ch,bus,jack,t2,pitch,388.203125,0.0,51.29237481725146,0.0
69.0,ch,bus,jack,t2,pitch,190.05729166666663,0.0,89.25169813368055,103.33984375
70.5,ch,bus,jack,t2,pitch,134.2724609375,0.0,81.96090627006011,98.92411295572916
72.0,ch,bus,jack,t2,pitch,311.640625,0.0,101.85314360119048,94.58426339285714
73.5,ch,bus,jack,t2,pitch,560.1227678571429,0.0,95.88727678571429,0.0
75.0,ch,bus,jack,t2,pitch,201.796875,0.0,149.8700042517007,159.921875
76.5,ch,bus,jack,t2,pitch,350.9375,0.0,119.12812572945846,108.5546875
78.0,ch,bus,jack,t2,pitch,350.3125,0.0,61.30170036764706,0.0
79.5,ch,bus,jack,t2,pitch,337.61067708333337,0.0,145.33185526814893,156.015625
81.0,ch,bus,jack,t2,pitch,617.2083333333333,0.0,123.61049968309082,100.45270647321428
82.5,ch,bus,jack,t2,pitch,144.44227430555557,0.0,90.97274000974659,125.4765625
84.0,ch,bus,jack,t2,pitch,263.046875,0.0,106.365336499183,139.81250000000003
85.5,ch,bus,jack,t2,pitch,514.453125,0.0,173.3348560778478,160.234375
87.0,ch,bus,jack,t2,pitch,538.984375,0.0,77.06805419921875,0.0
88.5,ch,bus,jack,t2,pitch,149.3359375,0.0,82.80885898919753,114.0625
90.0,ch,bus,jack,t2,pitch,488.046875,0.0,108.88262867647059,0.0
91.5,ch,bus,jack,t2,pitch,205.97868835034012,0.0,76.0938367123165,0.0
93.0,ch,bus,jack,t2,pitch,542.96875,0.0,143.8006359869153,121.9105325013528
94.5,ch,bus,jack,t2,pitch,932.7018229166669,0.0,139.45580575980395,141.4453125
96.0,ch,bus,jack,t2,pitch,739.7890625,0.0,147.86209405637257,112.87109375
97.5,ch,bus,jack,t2,pitch,385.234375,0.0,88.0206842502626,0.0
99.0,ch,bus,jack,t2,pitch,195.390625,0.0,101.27895481977514,122.48372395833334
100.5,ch,bus,jack,t2,pitch,176.25,0.0,81.21322824748503,114.43489583333334
102.0,ch,bus,jack,t2,pitch,373.984375,76.86383928571428,163.88248077876986,128.57421875
103.5,ch,bus,jack,t2,pitch,690.2890625,0.0,193.34082134589946,160.1953125
105.0,ch,bus,jack,t2,pitch,274.12109375,0.0,92.92698815957304,123.71111111111114
106.5,ch,bus,jack,t2,pitch,383.59375,0.0,74.83552631578948,0.0
108.0,ch,bus,jack,t2,pitch,467.65625,0.0,138.71738978794642,140.09765625
109.5,ch,bus,jack,t2,pitch,366.328125,0.0,120.47670200892857,106.22321428571428
111.0,ch,bus,jack,t2,pitch,544.765625,0.0,140.84489264455783,143.56398809523807
112.5,ch,bus,jack,t2,pitch,3342.03125,0.0,371.1039806547619,209.921875
114.0,ch,bus,jack,t2,pitch,157.96875,0.0,80.50320289248512,105.9375
115.5,ch,bus,jack,t2,pitch,194.53645833333331,0.0,79.92940190596441,59.94768415178572
117.0,ch,bus,jack,t2,pitch,358.671875,0.0,114.54435151798432,115.24283854166669
118.5,ch,bus,jack,t2,pitch,287.12109375,0.0,40.88446800595238,0.0
120.0,ch,bus,jack,t2,pitch,190.0837053571429,0.0,118.64498467681344,161.484375
121.5,ch,bus,jack,t2,pitch,309.453125,0.0,118.07442370756173,121.5625
123.0,ch,bus,jack,t2,pitch,623.90625,0.0,124.19837622549021,0.0
124.5,ch,bus,jack,t2,pitch,487.265625,0.0,121.84212962962962,108.57725694444444
126.0,ch,bus,jack,t2,pitch,269.66145833333337,0.0,96.62209821428571,45.949776785714285
127.5,ch,bus,jack,t2,pitch,264.58705357142856,0.0,72.55502852182539,50.18694196428572
129.0,ch,bus,jack,t2,pitch,225.15625,0.0,22.93975830078125,0.0
130.5,ch,bus,jack,t2,pitch,367.1875,0.0,123.21856747581845,132.802734375
132.0,ch,bus,jack,t2,pitch,688.2005208333333,0.0,268.6282254980986,163.21614583333331
133.5,ch,bus,jack,t2,pitch,422.34375,0.0,138.1033935546875,114.951171875
135.0,ch,bus,jack,t2,pitch,480.46875,0.0,202.50208156179139,158.28938802083334
136.5,ch,bus,jack,t2,pitch,355.9375,0.0,55.49027390252976,0.0
138.0,ch,bus,jack,t2,pitch,199.21875,0.0,121.07495343243635,112.31136067708334
139.5,ch,bus,jack,t2,pitch,254.765625,0.0,60.720684179343024,0.0
141.0,ch,bus,jack,t2,pitch,194.40587797619045,0.0,109.62801235945767,122.83203124999997
142.5,ch,bus,jack,t2,pitch,186.42578125,0.0,57.92176106770834,0.0
144.0,ch,bus,jack,t2,pitch,180.6423611111111,81.59114583333334,133.69637146251043,140.50130208333331
145.5,ch,bus,jack,t2,pitch,231.0844494047619,0.0,83.3624621314607,49.86371527777777
147.0,ch,bus,jack,t2,pitch,324.140625,0.0,132.59391276041666,158.7109375
148.5,ch,bus,jack,t2,pitch,453.37611607142856,0.0,136.40632895817834,115.7421875
150.0,ch,bus,jack,t2,pitch,112.1050347222222,0.0,17.38148267804929,0.0
151.5,ch,bus,jack,t2,pitch,511.875,0.0,171.54681687127976,123.47005208333331
153.0,ch,bus,jack,t2,pitch,497.1875,0.0,142.20489056299604,131.92545572916666
154.5,ch,bus,jack,t2,pitch,397.05208333333337,0.0,91.22850285947712,0.0
156.0,ch,bus,jack,t2,pitch,268.671875,0.0,119.13413143517438,120.75520833333334
157.5,ch,bus,jack,t2,pitch,328.359375,0.0,114.71859870529688,107.64778645833331
159.0,ch,bus,jack,t2,pitch,267.265625,0.0,48.537731771558526,0.0
160.5,ch,bus,jack,t2,pitch,373.828125,0.0,117.48315197172619,97.41145833333331
162.0,ch,bus,jack,t2,pitch,410.375,0.0,142.1282825630252,106.54947916666666
163.5,ch,bus,jack,t2,pitch,141.328125,0.0,49.860026041666664,0.0
165.0,ch,bus,jack,t2,pitch,589.0234375,0.0,114.1642342032967,53.90885416666667
166.5,ch,bus,jack,t2,pitch,349.140625,0.0,119.49932656801147,137.3291015625
168.0,ch,bus,jack,t2,pitch,187.0703125,0.0,41.421564980158735,0.0
169.5,ch,bus,jack,t2,pitch,344.140625,0.0,101.90687899581128,117.33927951388888
171.0,ch,bus,jack,t2,pitch,195.4765625,0.0,111.9246412888072,103.58723958333334
172.5,ch,bus,jack,t2,pitch,267.03125,0.0,92.72557226015407,103.60546875
174.0,ch,bus,jack,t2,pitch,185.546875,0.0,60.94069010416666,44.87630208333333
175.5,ch,bus,jack,t2,pitch,271.40625,71.32068452380952,129.80112232923648,130.3297267691799
177.0,ch,bus,jack,t2,pitch,224.70703125,0.0,57.281338110902254,0.0
178.5,ch,bus,jack,t2,pitch,257.421875,0.0,80.46016865079365,104.70703125
180.0,ch,bus,jack,t2,pitch,0.0,0.0,0.0,0.0
181.5,ch,bus,jack,t2,pitch,0.0,0.0,0.0,0.0
0.0,ch,casual,jack,t4,pitch,0.0,0.0,0.0,0.0
1.5,ch,casual,jack,t4,pitch,249.4233630952381,0.0,82.84623179041353,0.0
3.0,ch,casual,jack,t4,pitch,177.6953125,0.0,123.32959473880013,130.72265625
4.5,ch,casual,jack,t4,pitch,178.984375,72.86737351190476,153.4190793504902,164.0625
6.0,ch,casual,jack,t4,pitch,254.53125,0.0,55.37202176543695,0.0
7.5,ch,casual,jack,t4,pitch,1780.1171875,0.0,191.87707792785918,88.53571428571428
9.0,ch,casual,jack,t4,pitch,346.953125,31.990792410714285,131.95365601969954,123.92756076388889
10.5,ch,casual,jack,t4,pitch,130.63802083333331,0.0,105.92493195880324,114.22479538690474
12.0,ch,casual,jack,t4,pitch,170.43272569444446,0.0,55.03039926539105,0.0
13.5,ch,casual,jack,t4,pitch,157.09747023809524,0.0,56.84815434854497,43.51353236607143
15.0,ch,casual,jack,t4,pitch,183.203125,0.0,97.99054780505952,122.1123511904762
16.5,ch,casual,jack,t4,pitch,160.2495659722222,0.0,81.01511684100723,98.0
18.0,ch,casual,jack,t4,pitch,231.609375,0.0,134.29222021525166,153.68489583333331
19.5,ch,casual,jack,t4,pitch,430.859375,0.0,88.93286321606634,56.80943080357143
21.0,ch,casual,jack,t4,pitch,213.979967948718,0.0,102.16581358912774,138.5947265625
22.5,ch,casual,jack,t4,pitch,230.04166666666669,0.0,45.9022941468254,0.0
24.0,ch,casual,jack,t4,pitch,333.515625,0.0,95.633543953063,109.1436011904762
25.5,ch,casual,jack,t4,pitch,284.21875,0.0,120.36792379712303,122.87134951636908
27.0,ch,casual,jack,t4,pitch,124.91305803571429,0.0,69.55880300284795,104.61588541666666
28.5,ch,casual,jack,t4,pitch,506.09375,0.0,126.41675420168067,107.109375
30.0,ch,casual,jack,t4,pitch,302.578125,0.0,110.56684027777777,120.43619791666669
31.5,ch,casual,jack,t4,pitch,159.84375,0.0,83.94885835193452,104.64313616071428
33.0,ch,casual,jack,t4,pitch,530.234375,0.0,153.64951481894843,126.23480902777777
34.5,ch,casual,jack,t4,pitch,212.61160714285717,0.0,44.01950588474026,0.0
36.0,ch,casual,jack,t4,pitch,480.625,0.0,140.04225388071896,161.953125
37.5,ch,casual,jack,t4,pitch,246.796875,103.14583333333334,142.45794270833335,135.01822916666669
39.0,ch,casual,jack,t4,pitch,219.6875,0.0,95.35057560350529,110.462890625
40.5,ch,casual,jack,t4,pitch,155.08463541666666,0.0,102.53997267441277,114.704480632215
42.0,ch,casual,jack,t4,pitch,391.71875,0.0,79.51378676470588,0.0
43.5,ch,casual,jack,t4,pitch,678.671875,117.044921875,196.15459798177085,143.38671875
45.0,ch,casual,jack,t4,pitch,399.140625,0.0,101.69570816282243,106.53103298611111
46.5,ch,casual,jack,t4,pitch,146.46484375,0.0,80.8505359898589,118.2595486111111
48.0,ch,casual,jack,t4,pitch,446.71875,0.0,147.45151555413833,109.79877497874152
49.5,ch,casual,jack,t4,pitch,407.96875,0.0,113.22672909691221,49.51058523995536
51.0,ch,casual,jack,t4,pitch,343.984375,68.84709821428572,154.22842261904762,127.890625
52.5,ch,casual,jack,t4,pitch,615.78125,0.0,140.3754797149123,103.6328125
54.0,ch,casual,jack,t4,pitch,752.890625,100.83463541666666,228.44250817677332,135.3373119212963
55.5,ch,casual,jack,t4,pitch,189.0364583333333,0.0,111.72939920246664,132.0636574074074
57.0,ch,casual,jack,t4,pitch,364.921875,107.73489583333333,172.49452018467642,142.20238095238096
58.5,ch,casual,jack,t4,pitch,152.32421875,0.0,53.87099510732323,0.0
60.0,ch,casual,jack,t4,pitch,526.1830357142858,0.0,136.1754989164226,124.59635416666666
61.5,ch,casual,jack,t4,pitch,161.08072916666669,0.0,122.43730158730159,131.03515625
63.0,ch,casual,jack,t4,pitch,131.03515625,0.0,72.0019204913325,109.1484375
64.5,ch,casual,jack,t4,pitch,305.78125,0.0,95.42287093874008,92.27143787202381
66.0,ch,casual,jack,t4,pitch,150.546875,0.0,66.51603167308589,68.41889880952381
67.5,ch,casual,jack,t4,pitch,516.796875,0.0,165.56922164351852,124.150390625
69.0,ch,casual,jack,t4,pitch,223.671875,0.0,85.49940576491014,42.40104166666667
70.5,ch,casual,jack,t4,pitch,341.40625,0.0,112.38153560577877,123.40809461805554
72.0,ch,casual,jack,t4,pitch,385.703125,0.0,90.46950954861111,85.23567708333334
73.5,ch,casual,jack,t4,pitch,455.3125,0.0,153.20219924630732,117.71335177951389
75.0,ch,casual,jack,t4,pitch,162.5390625,0.0,42.281918092757934,0.0
76.5,ch,casual,jack,t4,pitch,146.92615327380955,0.0,81.90230758101853,120.36830357142857
78.0,ch,casual,jack,t4,pitch,526.9921875,0.0,197.34273856026786,119.69075520833333
79.5,ch,casual,jack,t4,pitch,616.953125,0.0,40.715897817460316,0.0
81.0,ch,casual,jack,t4,pitch,467.5,0.0,93.0958402024004,0.0
82.5,ch,casual,jack,t4,pitch,394.296875,0.0,175.69124009874133,135.15625
84.0,ch,casual,jack,t4,pitch,429.453125,0.0,131.4730689639137,142.2509765625
85.5,ch,casual,jack,t4,pitch,544.609375,0.0,139.9317939125882,0.0
87.0,ch,casual,jack,t4,pitch,426.015625,0.0,114.76119752914187,130.88053385416669
88.5,ch,casual,jack,t4,pitch,544.765625,106.125,157.12389897365196,128.6328125
90.0,ch,casual,jack,t4,pitch,303.59375,0.0,92.03454350490198,108.7109375
91.5,ch,casual,jack,t4,pitch,187.3177083333333,0.0,84.04479851973683,108.91145833333331
93.0,ch,casual,jack,t4,pitch,171.57942708333334,0.0,58.552542892156865,0.0
94.5,ch,casual,jack,t4,pitch,167.12890625,0.0,113.51786644345239,124.43131510416667
96.0,ch,casual,jack,t4,pitch,589.765625,0.0,166.8505859375,89.2578125
97.5,ch,casual,jack,t4,pitch,468.28125,138.08854166666669,200.99845234831872,159.375
99.0,ch,casual,jack,t4,pitch,194.46800595238096,0.0,57.61972966269841,0.0
100.5,ch,casual,jack,t4,pitch,432.5,0.0,120.89819473061661,101.06361607142857
102.0,ch,casual,jack,t4,pitch,126.21907552083331,0.0,50.041017885561345,36.25279017857143
103.5,ch,casual,jack,t4,pitch,382.109375,0.0,90.43980508870214,99.52256944444444
105.0,ch,casual,jack,t4,pitch,544.21875,0.0,170.6105795993166,152.98665364583334
106.5,ch,casual,jack,t4,pitch,342.763671875,0.0,120.46027480388375,133.45703125
108.0,ch,casual,jack,t4,pitch,378.53515625,0.0,150.33975563909772,143.90625
109.5,ch,casual,jack,t4,pitch,147.24609375,0.0,105.19167054191469,108.33984375
111.0,ch,casual,jack,t4,pitch,0.0,0.0,0.0,0.0
112.5,ch,casual,jack,t4,pitch,0.0,0.0,0.0,0.0
0.0,ch,bus,jack,t1,pitch,0.0,0.0,0.0,0.0
1.5,ch,bus,jack,t1,pitch,683.203125,0.0,89.43665839058144,0.0
3.0,ch,bus,jack,t1,pitch,376.5625,0.0,79.62205317982456,0.0
4.5,ch,bus,jack,t1,pitch,302.34375,0.0,117.69380890376985,124.21875
6.0,ch,bus,jack,t1,pitch,3576.09375,0.0,621.3204427083334,135.51106770833334
7.5,ch,bus,jack,t1,pitch,609.1484375,0.0,106.9169921875,0.0
9.0,ch,bus,jack,t1,pitch,431.953125,0.0,245.43247767857142,320.546875
10.5,ch,bus,jack,t1,pitch,206.64713541666669,0.0,27.9343137254902,0.0
12.0,ch,bus,jack,t1,pitch,549.296875,0.0,253.22960069444446,199.29036458333334
13.5,ch,bus,jack,t1,pitch,601.328125,0.0,140.60845588235293,110.234375
