time_1.5,language,tone,participant,script,sensor,pitch_max,pitch_min,pitch_mean,pitch_median,pitch_std
12.0,en,casual,yaoyi,t3,sound_intensity,50.88011986833182,21.43014800254095,33.2418815961655,27.246697630874834,10.794562951884213
13.5,en,casual,yaoyi,t3,sound_intensity,50.39798666362972,26.35483746814912,42.71744608707394,42.45660697520259,5.597261626274128
15.0,en,casual,yaoyi,t3,sound_intensity,47.2296280894249,23.483048630481605,31.100032089832123,27.68791185773404,7.603889668003246
16.5,en,casual,yaoyi,t3,sound_intensity,45.94381499484654,24.28134794028789,37.404107891498704,38.38471279071929,7.7446711708704425
18.0,en,casual,yaoyi,t3,sound_intensity,47.16178696385568,24.313637641589875,36.201073541967816,36.51183562799666,6.005387296400926
19.5,en,casual,yaoyi,t3,sound_intensity,42.892097826449856,28.57332496431269,36.79538713970279,38.03661923236224,4.8524981315495594
21.0,en,casual,yaoyi,t3,sound_intensity,52.61022452985421,30.718820073061256,37.99364789569015,34.8573422730007,6.5723559735086186
22.5,en,casual,yaoyi,t3,sound_intensity,46.8466586402586,26.748611407378117,37.96717293189376,40.71624298539752,6.447313458189985
24.0,en,casual,yaoyi,t3,sound_intensity,46.160026264984126,24.60897842756548,34.02046051976431,32.489138680417526,6.644308214364646
25.5,en,casual,yaoyi,t3,sound_intensity,45.57362814089654,27.03291378118661,38.044294412202625,38.991088581934,5.54198530696051
27.0,en,casual,yaoyi,t3,sound_intensity,48.76673841325597,26.263403673750425,36.54537055817065,33.568490322135666,8.743595547801537
28.5,en,casual,yaoyi,t3,sound_intensity,47.24669014903952,24.18301291319746,36.385461523986756,36.43255225024772,7.635722846362392
30.0,en,casual,yaoyi,t3,sound_intensity,45.0320487552065,26.4738297011462,37.648678324439146,41.15953544947892,7.15006319775308
31.5,en,casual,yaoyi,t3,sound_intensity,52.315817177224034,23.483048630481605,36.93014268995482,34.84157424365381,10.607978261598294
33.0,en,casual,yaoyi,t3,sound_intensity,48.73308973962765,25.50228353055094,36.99503328279283,38.68221227686704,6.706143987343385
34.5,en,casual,yaoyi,t3,sound_intensity,47.95504624718734,20.453229787866576,32.98495174082754,31.51676230847048,9.490711204617485
36.0,en,casual,yaoyi,t3,sound_intensity,48.68009281278586,20.863598306747484,37.86455347260028,40.120763712392815,7.82378337722672
37.5,en,casual,yaoyi,t3,sound_intensity,45.706246542738846,27.611758131557316,37.97135466481496,40.07320952922744,5.684149325567186
39.0,en,casual,yaoyi,t3,sound_intensity,48.7884337602823,20.253058652647702,29.264470465829096,27.46355057043459,6.755775306021035
40.5,en,casual,yaoyi,t3,sound_intensity,49.99674156932143,22.09515014542631,34.37684494154245,34.07560849486363,7.839533513501413
42.0,en,casual,yaoyi,t3,sound_intensity,51.4870751439305,20.12837224705172,33.03568017953697,29.279339524470394,10.351721255059434
43.5,en,casual,yaoyi,t3,sound_intensity,47.68260611537919,27.015679850559277,38.416706050812024,40.48674814992229,6.2949554172387066
45.0,en,casual,yaoyi,t3,sound_intensity,50.31824379743782,20.718820073061256,40.917912453546904,43.522073947900104,8.238631091042139
46.5,en,casual,yaoyi,t3,sound_intensity,45.076265252421415,21.2057393120585,33.86864369049768,36.08312042697328,8.123721729209588
48.0,en,casual,yaoyi,t3,sound_intensity,44.58743577420048,27.193312869837264,37.019612512035444,38.054119167945956,4.8396988590064165
49.5,en,casual,yaoyi,t3,sound_intensity,40.54268239547188,23.424226808222063,29.71953910624912,28.597385661971472,5.079231525030358
51.0,en,casual,yaoyi,t3,sound_intensity,49.1410504981628,21.73186268412274,36.15031011474672,37.71504032999901,9.132009419746678
52.5,en,casual,yaoyi,t3,sound_intensity,47.455666092624,21.81843587944773,38.841234110673824,40.60282229438346,6.8650933585245975
54.0,en,casual,yaoyi,t3,sound_intensity,45.53130244496774,22.013971243204512,35.89622257750947,36.407488047429965,7.502088780226132
55.5,en,casual,yaoyi,t3,sound_intensity,43.95448712315872,22.430380486862944,35.07624514797483,35.647843845039866,7.067263230136626
57.0,en,casual,yaoyi,t3,sound_intensity,45.11121006550374,23.80211241711606,32.78636455132958,29.42481184087018,7.473586808206171
58.5,en,casual,yaoyi,t3,sound_intensity,46.76400933693039,27.9309160017658,37.08482782579078,35.47159121327417,6.00437660812662
60.0,en,casual,yaoyi,t3,sound_intensity,47.228148408792336,24.1161970596323,33.48342688569456,30.011141422839543,8.014535018115117
61.5,en,casual,yaoyi,t3,sound_intensity,50.88833944150202,21.875207208364632,34.19468866458082,30.05180512503781,10.357742173016758
63.0,en,casual,yaoyi,t3,sound_intensity,53.738880678926655,28.034571156484137,40.414558318564964,42.71107082456346,8.301080273477591
64.5,en,casual,yaoyi,t3,sound_intensity,49.53174763719893,21.70261715394957,35.48917751658584,37.42489464581775,8.540881173990437
66.0,en,casual,yaoyi,t3,sound_intensity,48.08163691013444,23.80211241711606,35.47273650090087,32.938663676538724,7.5994269942927275
67.5,en,casual,yaoyi,t3,sound_intensity,51.27684550871941,26.693168805661124,40.03795206389172,42.639909326813125,7.3293794314572205
69.0,en,casual,yaoyi,t3,sound_intensity,46.88001345026528,30.56142262059052,40.52844744810581,42.050395953485186,4.728518363447692
70.5,en,casual,yaoyi,t3,sound_intensity,48.38351570159206,21.5836249209525,31.101035588959654,27.88168371141168,6.805802210736418
72.0,en,casual,yaoyi,t3,sound_intensity,48.46887364662887,22.71841606536499,36.113027500416145,34.58005766268252,8.093600127745203
73.5,en,casual,yaoyi,t3,sound_intensity,46.808791744268106,24.871383754771863,34.207122943178476,31.42389466118836,7.473666577678746
75.0,en,casual,yaoyi,t3,sound_intensity,47.06248251670263,27.993405494535818,40.60018592116234,42.355956520335646,5.314761558069943
76.5,en,casual,yaoyi,t3,sound_intensity,51.172580345530925,19.54242509439325,29.745804358258876,26.37489729512511,7.8721346314355465
78.0,en,casual,yaoyi,t3,sound_intensity,46.07594404013138,24.216039268698317,36.29623043706034,38.441780485358706,7.977121022786186
79.5,en,casual,yaoyi,t3,sound_intensity,51.13532248397966,21.73186268412274,41.85815977644962,45.74285979115732,10.341153522286504
81.0,en,casual,yaoyi,t3,sound_intensity,50.157243091163366,27.551122663950714,38.809498528233746,39.39438403368573,7.4070049870946235
82.5,en,casual,yaoyi,t3,sound_intensity,47.01447091039148,28.09559714635268,36.887154106161134,35.798978696031035,6.583035515851071
84.0,en,casual,yaoyi,t3,sound_intensity,48.091757498278575,28.674674878590515,37.57123809293193,36.0153913665724,5.937010786226379
85.5,en,casual,yaoyi,t3,sound_intensity,40.7896404450176,23.03196057420489,32.02381127979225,32.12453961040276,5.953081415571885
87.0,en,casual,yaoyi,t3,sound_intensity,50.26908973010941,26.180480967120925,40.51246313213886,41.89545839901194,7.46852906564705
88.5,en,casual,yaoyi,t3,sound_intensity,49.161695899979065,21.95899652409233,38.44249370921495,42.48022336412354,8.678564308017474
90.0,en,casual,yaoyi,t3,sound_intensity,47.54699910729208,25.10545010206612,35.89877591487188,34.20692125408145,6.703787932662089
91.5,en,casual,yaoyi,t3,sound_intensity,44.97372015803749,23.424226808222063,34.48202088365637,33.502480183341625,7.173964377422717
93.0,en,casual,yaoyi,t3,sound_intensity,49.38489703782983,23.78397900948137,39.687675119678694,41.48139489523595,7.932434023167245
94.5,en,casual,yaoyi,t3,sound_intensity,47.493961653647,24.563660331290432,38.776149119032695,40.9770838058163,6.929989218888039
96.0,en,casual,yaoyi,t3,sound_intensity,46.802266994961165,22.50420002308894,33.719274189153374,32.110091414820246,8.037040072481712
97.5,en,casual,yaoyi,t3,sound_intensity,50.428825205787376,24.329692908744057,35.27554025462667,32.09783014848515,8.009670488581435
99.0,en,casual,yaoyi,t3,sound_intensity,48.94520974741268,23.80211241711606,33.33825307385796,31.09444260681711,7.427217169807543
100.5,en,casual,yaoyi,t3,sound_intensity,46.73371152066327,24.8572142648158,38.334541832116564,40.29830019310658,6.281761462181232
102.0,en,casual,yaoyi,t3,sound_intensity,48.97264111343449,25.70542939881897,37.182007282048026,37.57671204159192,7.401453689925459
103.5,en,casual,yaoyi,t3,sound_intensity,47.51548529380677,25.024271199844325,39.253951361228836,41.11027151026175,6.500204030232156
105.0,en,casual,yaoyi,t3,sound_intensity,45.6062387454993,18.63322860120456,26.82343105074066,23.771168150601014,8.63186620586064
106.5,en,casual,yaoyi,t3,sound_intensity,47.38217512851996,23.384564936046047,33.70300035696836,32.395497208404734,7.377164774102039
108.0,en,casual,yaoyi,t3,sound_intensity,52.24517524064002,24.37750562820388,40.5906824754434,45.90720576426908,10.312526982564005
109.5,en,casual,yaoyi,t3,sound_intensity,46.99325979881144,21.367205671564065,37.037328373065215,33.697722885969625,7.336941672650861
111.0,en,casual,yaoyi,t3,sound_intensity,51.41434094616304,23.80211241711606,38.1489954161679,38.757037626386335,9.701089218269077
112.5,en,casual,yaoyi,t3,sound_intensity,53.8668441517457,33.31022171041829,44.86886153936375,46.04474458972241,6.198877999150741
114.0,en,casual,yaoyi,t3,sound_intensity,49.40825162570236,21.105897102992486,34.680864946485706,31.60159361443913,8.983257412415108
115.5,en,casual,yaoyi,t3,sound_intensity,49.70314326173349,30.047511555910013,37.825687337915106,35.21007252408604,6.564378183033898
117.0,en,casual,yaoyi,t3,sound_intensity,46.03544908457,20.253058652647702,36.092763196933056,39.614954284487844,9.003565147703888
118.5,en,casual,yaoyi,t3,sound_intensity,46.97037443369143,22.576785748691847,34.21801730896196,34.25534220498263,8.319513677757898
120.0,en,casual,yaoyi,t3,sound_intensity,46.36377553484719,24.8572142648158,35.38303427048884,32.541175534039766,7.08938928856534
121.5,en,casual,yaoyi,t3,sound_intensity,47.11503538392312,29.86323777050765,37.83544813953048,36.89220037263836,6.53871540674347
123.0,en,casual,yaoyi,t3,sound_intensity,51.25214426082161,26.82145076373832,36.48650335158934,35.45903798500837,7.107222625073485
124.5,en,casual,yaoyi,t3,sound_intensity,50.36892266184283,23.07496037913213,31.502569123570193,30.0774777800074,7.751310394643457
126.0,en,casual,yaoyi,t3,sound_intensity,47.89918991668926,29.439888750737715,41.400209781321394,42.639903004375256,4.964315011856295
127.5,en,casual,yaoyi,t3,sound_intensity,48.21664162505704,23.424226808222063,34.2816840658112,35.75072325713813,6.840666021779658
129.0,en,casual,yaoyi,t3,sound_intensity,49.65187585049533,19.444826721501688,30.926622888931036,29.041932731979443,8.99844120418515
130.5,en,casual,yaoyi,t3,sound_intensity,47.49597195412076,27.299742856995557,37.054216462444124,38.454701329816736,7.595192648202787
132.0,en,casual,yaoyi,t3,sound_intensity,50.98944686212758,28.109042806687007,38.6620453298683,39.086643287678484,7.22210752639137
133.5,en,casual,yaoyi,t3,sound_intensity,48.91765973585179,25.37819095073274,33.82323551391674,30.31408464251624,7.879267675876099
135.0,en,casual,yaoyi,t3,sound_intensity,48.01307646901822,22.62451089730429,33.32558236295691,33.07654905281004,8.061433684217915
136.5,en,casual,yaoyi,t3,sound_intensity,52.61980942952584,20.12837224705172,32.40470823205897,27.16837723299524,10.748137410275225
138.0,en,casual,yaoyi,t3,sound_intensity,48.30704123066694,31.03803720955957,41.32919361036616,43.73204154703072,5.317383145162055
139.5,en,casual,yaoyi,t3,sound_intensity,45.00949647254549,25.526682161121933,35.02146360696025,33.73095987078727,6.699385953644269
