sensor,language,tone,participant,script,time_5,autocorrelation_mean,autocorrelation_median,autocorrelation_std,autocorrelation_min,autocorrelation_max,autocorrelation_missing
autocorrelations,en,casual,subject2,t1,5.0,4.214818380919088e-08,1.264139101e-07,1.3392330214809022e-06,-1.95046414e-06,2.600773975e-06,0.0
autocorrelations,en,casual,subject2,t1,10.0,2.755135186193361e-08,5.490400885e-08,1.154878601939601e-06,-1.683393031e-06,1.637759014e-06,0.0
autocorrelations,en,casual,subject2,t1,15.0,2.6047563984361005e-08,5.322486549e-08,1.1405282935628949e-06,-1.615820885e-06,1.634335955e-06,0.0
autocorrelations,en,casual,subject2,t1,20.0,-2.421050384232069e-08,-3.424063438e-08,1.0263146087360971e-06,-1.515350504e-06,1.445094772e-06,0.0
autocorrelations,en,casual,subject2,t2,5.0,6.064535553609962e-08,6.723657663e-08,5.319415813128634e-07,-8.408928642e-07,1.274045984e-06,0.0
autocorrelations,en,casual,subject2,t2,10.0,-1.3640281556015448e-10,2.399096773e-09,4.150981570329881e-07,-7.39577021e-07,5.867626345e-07,0.0
autocorrelations,en,casual,subject2,t2,15.0,-1.3427580698221164e-07,-1.173743476e-07,3.545100026558972e-07,-7.021418838e-07,4.42570433e-07,0.0
autocorrelations,en,casual,subject2,t2,20.0,2.223347499253241e-07,2.007027561e-07,3.4571938061576254e-07,-2.986318473e-07,8.010095211e-07,0.0
autocorrelations,en,casual,subject2,t3,5.0,2.2676149194020803e-08,3.776218831e-08,2.8590371026712734e-06,-4.077796679e-06,4.253186247e-06,0.0
autocorrelations,en,casual,subject2,t3,10.0,1.4770356982365129e-08,9.375959801e-08,2.8172161454320087e-06,-4.009938695e-06,3.991711062e-06,0.0
autocorrelations,en,casual,subject2,t3,15.0,3.7491364606638986e-08,7.734888466e-08,2.691432126361345e-06,-3.789802692e-06,3.895637997e-06,0.0
autocorrelations,en,casual,subject2,t3,20.0,-3.7536769463096976e-08,-6.428785353e-08,2.670494530899856e-06,-3.858162614e-06,3.825339307e-06,0.0
autocorrelations,en,casual,subject2,t4,5.0,-1.328369427551876e-09,-5.17557859e-08,2.3758181405037817e-06,-3.524162458e-06,3.634076954e-06,0.0
autocorrelations,en,casual,subject2,t4,10.0,1.1299981483361e-08,2.781151551e-08,2.3830460729455155e-06,-3.428203809e-06,3.504148535e-06,0.0
autocorrelations,en,casual,subject2,t4,15.0,-2.5066754432535253e-08,-2.583343471e-09,2.384202781987285e-06,-3.497351477e-06,3.422223953e-06,0.0
autocorrelations,en,casual,subject2,t4,20.0,3.679109366962026e-08,4.969509107e-08,2.3689705897385984e-06,-3.488129792e-06,3.487913114e-06,0.0
