"Time (ms)","Recording (a.u.)"
5.834548864E0,3.847890184E-4
5.855386539E0,3.821223218E-4
5.876224213E0,3.755396756E-4
5.897061888E0,3.822458675E-4
5.917899562E0,3.552988637E-4
5.938737237E0,3.449533251E-4
5.959574911E0,3.583925136E-4
5.980412586E0,3.560546029E-4
6.001250260E0,3.562920901E-4
6.022087935E0,3.918755101E-4
6.042925610E0,3.992722486E-4
6.063763284E0,3.769003670E-4
6.084600959E0,3.931272076E-4
6.105438633E0,4.271446087E-4
6.126276308E0,4.524340038E-4
6.147113982E0,4.452485300E-4
6.167951657E0,4.569505691E-4
6.188789331E0,4.781176976E-4
6.209627006E0,4.292124067E-4
6.230464680E0,4.052079748E-4
6.251302355E0,4.144512350E-4
6.272140029E0,4.099813814E-4
6.292977704E0,4.182141274E-4
6.313815378E0,4.346864007E-4
6.334653053E0,4.485468380E-4
6.355490727E0,4.150120076E-4
6.376328402E0,3.971387050E-4
6.397166076E0,4.202739510E-4
6.418003751E0,4.181112745E-4
6.438841425E0,4.114389012E-4
6.459679100E0,3.986152296E-4
6.480516774E0,4.109464935E-4
6.501354449E0,4.284997704E-4
6.522192123E0,4.169873719E-4
6.543029798E0,4.398235469E-4
6.563867472E0,4.601417459E-4
6.584705147E0,4.664578300E-4
6.605542821E0,4.825769283E-4
6.626380496E0,4.733730457E-4
6.647218170E0,4.820562608E-4
6.668055845E0,4.966435372E-4
6.688893519E0,4.751090601E-4
6.709731194E0,4.728752247E-4
6.730568869E0,4.650996707E-4
6.751406543E0,4.202853597E-4
6.772244218E0,3.959410533E-4
6.793081892E0,4.038940533E-4
6.813919567E0,3.882505116E-4
6.834757241E0,3.662151576E-4
6.855594916E0,3.970427206E-4
6.876432590E0,4.069493734E-4
6.897270265E0,3.627661499E-4
6.918107939E0,3.670100414E-4
6.938945614E0,4.062446533E-4
6.959783288E0,4.010525008E-4
6.980620963E0,4.030088312E-4
7.001458637E0,4.150782188E-4
7.022296312E0,3.793499782E-4
7.043133986E0,3.266789136E-4
7.063971661E0,3.097378358E-4
7.084809335E0,3.413972445E-4
7.105647010E0,3.160941706E-4
7.126484684E0,2.957675024E-4
7.147322359E0,3.317416413E-4
7.168160033E0,2.913299249E-4
7.188997708E0,2.780620707E-4
7.209835382E0,2.704624203E-4
7.230673057E0,2.508815960E-4
7.251510731E0,2.865449642E-4
7.272348406E0,2.644320193E-4
7.293186080E0,2.644930792E-4
7.314023755E0,2.698035678E-4
7.334861429E0,2.411060996E-4
7.355699104E0,2.717500320E-4
7.376536778E0,2.748732804E-4
7.397374453E0,2.435325296E-4
7.418212128E0,2.263220667E-4
7.439049802E0,2.281608904E-4
7.459887477E0,2.276935702E-4
7.480725151E0,2.023342531E-4
7.501562826E0,2.210615639E-4
7.522400500E0,2.186663332E-4
7.543238175E0,1.698304841E-4
7.564075849E0,1.844468934E-4
7.584913524E0,1.834807917E-4
7.605751198E0,1.448431576E-4
7.626588873E0,1.354312262E-4
7.647426547E0,1.081859373E-4
7.668264222E0,8.435222844E-5
7.689101896E0,7.448259566E-5
7.709939571E0,7.717263361E-5
7.730777245E0,9.282449173E-5
7.751614920E0,4.225324301E-5
7.772452594E0,-6.647853297E-6
7.793290269E0,-1.776612226E-5
7.814127943E0,-5.418170986E-5
7.834965618E0,-5.128731209E-5
7.855803292E0,-4.859181354E-5
7.876640967E0,-5.604908074E-5
7.897478641E0,-2.403534745E-5
7.918316316E0,-7.518680650E-5
7.939153990E0,-1.499934151E-4
7.959991665E0,-1.409478718E-4
7.980829339E0,-1.431891433E-4
8.001667014E0,-1.667154138E-4
8.022504688E0,-1.606125588E-4
8.043342363E0,-1.414763101E-4
8.064180038E0,-1.476362086E-4
8.085017712E0,-1.794730342E-4
8.105855387E0,-1.857253956E-4
8.126693061E0,-1.777682337E-4
8.147530736E0,-2.188069338E-4
8.168368410E0,-2.148631320E-4
8.189206085E0,-1.830925612E-4
8.210043759E0,-2.305859234E-4
8.230881434E0,-2.298656909E-4
8.251719108E0,-2.234478598E-4
8.272556783E0,-2.219604357E-4
8.293394457E0,-1.820157049E-4
8.314232132E0,-2.247042721E-4
8.335069806E0,-2.180643351E-4
8.355907481E0,-1.946909179E-4
8.376745155E0,-2.312826691E-4
8.397582830E0,-1.924657554E-4
8.418420504E0,-1.705553441E-4
8.439258179E0,-1.806447399E-4
8.460095853E0,-2.074742224E-4
8.480933528E0,-2.216308785E-4
8.501771202E0,-1.895053429E-4
8.522608877E0,-2.244076168E-4
8.543446551E0,-2.095025848E-4
8.564284226E0,-1.691220095E-4
8.585121900E0,-2.048979659E-4
8.605959575E0,-1.628008322E-4
8.626797249E0,-1.392066915E-4
8.647634924E0,-1.858506439E-4
8.668472598E0,-1.968879078E-4
8.689310273E0,-2.053435601E-4
8.710147947E0,-2.064284636E-4
8.730985622E0,-2.056514932E-4
8.751823297E0,-1.942548261E-4
8.772660971E0,-1.880030322E-4
8.793498646E0,-1.900597999E-4
8.814336320E0,-1.662020077E-4
8.835173995E0,-1.813831914E-4
8.856011669E0,-1.882192737E-4
8.876849344E0,-2.064502332E-4
8.897687018E0,-2.384855761E-4
8.918524693E0,-2.205165511E-4
8.939362367E0,-2.459934331E-4
8.960200042E0,-2.390896989E-4
8.981037716E0,-2.258447930E-4
9.001875391E0,-2.624455083E-4
9.022713065E0,-2.516538370E-4
9.043550740E0,-2.586879418E-4
9.064388414E0,-2.621085732E-4
9.085226089E0,-2.612921817E-4
9.106063763E0,-3.015079710E-4
9.126901438E0,-3.243794199E-4
9.147739112E0,-3.181374632E-4
9.168576787E0,-3.412780934E-4
9.189414461E0,-3.744521528E-4
9.210252136E0,-3.677169734E-4
9.231089810E0,-3.936375724E-4
9.251927485E0,-3.859233693E-4
9.272765159E0,-3.750516917E-4
9.293602834E0,-3.704313131E-4
9.314440508E0,-2.942293650E-4
9.335278183E0,-3.123055794E-4
9.356115857E0,-3.247353307E-4
9.376953532E0,-2.784432436E-4
9.397791207E0,-2.967065084E-4
9.418628881E0,-2.956509124E-4
9.439466556E0,-2.790629514E-4
9.460304230E0,-2.886910515E-4
9.481141905E0,-2.797158668E-4
9.501979579E0,-2.348871785E-4
9.522817254E0,-2.328325209E-4
9.543654928E0,-2.453637135E-4
9.564492603E0,-2.343389642E-4
9.585330277E0,-2.436932991E-4
9.606167952E0,-2.518608235E-4
9.627005626E0,-2.483955468E-4
9.647843301E0,-2.211786486E-4
