"Time (ms)","Recording (a.u.)"
5.376120025E0,2.746582031E-4
5.396957700E0,3.662109375E-4
5.417795374E0,7.019042969E-4
5.438633049E0,3.051757812E-4
5.459470723E0,3.967285156E-4
5.480308398E0,4.577636719E-4
5.501146072E0,3.051757812E-4
5.521983747E0,4.577636719E-4
5.542821421E0,2.441406250E-4
5.563659096E0,6.408691406E-4
5.584496770E0,4.882812500E-4
5.605334445E0,5.187988281E-4
5.626172119E0,5.798339844E-4
5.647009794E0,4.882812500E-4
5.667847468E0,6.103515625E-4
5.688685143E0,4.882812500E-4
5.709522817E0,6.103515625E-4
5.730360492E0,5.187988281E-4
5.751198166E0,9.155273438E-4
5.772035841E0,5.493164062E-4
5.792873515E0,4.272460938E-4
5.813711190E0,7.324218750E-4
5.834548864E0,5.187988281E-4
5.855386539E0,9.155273438E-4
5.876224213E0,5.493164062E-4
5.897061888E0,7.629394531E-4
5.917899562E0,6.713867188E-4
5.938737237E0,4.272460938E-4
5.959574911E0,8.850097656E-4
5.980412586E0,4.272460938E-4
6.001250260E0,6.713867188E-4
6.022087935E0,5.493164062E-4
6.042925610E0,8.544921875E-4
6.063763284E0,7.019042969E-4
6.084600959E0,5.798339844E-4
6.105438633E0,6.713867188E-4
6.126276308E0,5.187988281E-4
6.147113982E0,8.239746094E-4
6.167951657E0,3.967285156E-4
6.188789331E0,5.493164062E-4
6.209627006E0,4.882812500E-4
6.230464680E0,2.441406250E-4
6.251302355E0,4.577636719E-4
6.272140029E0,2.441406250E-4
6.292977704E0,6.103515625E-4
6.313815378E0,0.000000000E0
6.334653053E0,3.051757812E-4
6.355490727E0,1.220703125E-4
6.376328402E0,9.155273438E-5
6.397166076E0,1.831054688E-4
6.418003751E0,-1.220703125E-4
6.438841425E0,3.356933594E-4
6.459679100E0,2.136230469E-4
6.480516774E0,1.220703125E-4
6.501354449E0,0.000000000E0
6.522192123E0,2.746582031E-4
6.543029798E0,6.103515625E-5
6.563867472E0,0.000000000E0
6.584705147E0,0.000000000E0
6.605542821E0,-2.746582031E-4
6.626380496E0,-2.136230469E-4
6.647218170E0,-3.356933594E-4
6.668055845E0,6.103515625E-5
