"Time (ms)","Recording (a.u.)"
4.855178162E0,8.534651715E-5
4.876015837E0,2.694920695E-4
4.896853511E0,1.004099759E-4
4.917691186E0,2.790760773E-4
4.938528860E0,1.554283081E-4
4.959366535E0,2.254215360E-4
4.980204209E0,2.398582292E-4
5.001041884E0,1.293824753E-4
5.021879558E0,3.126229276E-4
5.042717233E0,1.549643057E-4
5.063554907E0,3.566325759E-4
5.084392582E0,1.989113662E-4
5.105230256E0,2.924759756E-4
5.126067931E0,2.872970945E-4
5.146905605E0,2.174176625E-4
5.167743280E0,3.620731004E-4
5.188580954E0,2.056474623E-4
5.209418629E0,3.804447479E-4
5.230256303E0,2.111665235E-4
5.251093978E0,3.169678967E-4
5.271931652E0,2.327536349E-4
5.292769327E0,2.222248440E-4
5.313607001E0,3.269296722E-4
5.334444676E0,2.009249147E-4
5.355282350E0,3.721175017E-4
5.376120025E0,1.735244005E-4
5.396957700E0,3.474099794E-4
5.417795374E0,2.572347876E-4
5.438633049E0,2.991797228E-4
5.459470723E0,3.671141749E-4
5.480308398E0,2.312833531E-4
5.501146072E0,3.772652126E-4
5.521983747E0,1.755677658E-4
5.542821421E0,3.163967340E-4
5.563659096E0,1.526662090E-4
5.584496770E0,1.992810576E-4
5.605334445E0,2.180347219E-4
5.626172119E0,1.592858753E-4
5.647009794E0,3.058710718E-4
5.667847468E0,1.498751226E-4
5.688685143E0,3.429468488E-4
5.709522817E0,1.875302405E-4
5.730360492E0,2.916320518E-4
5.751198166E0,2.466676524E-4
5.772035841E0,1.829021930E-4
5.792873515E0,2.594531106E-4
5.813711190E0,1.030007406E-4
5.834548864E0,2.601268352E-4
5.855386539E0,8.866463031E-5
5.876224213E0,2.738137555E-4
5.897061888E0,2.135378891E-4
5.917899562E0,2.324623492E-4
5.938737237E0,3.173677833E-4
5.959574911E0,1.809225505E-4
5.980412586E0,2.897129452E-4
6.001250260E0,7.279308920E-5
6.022087935E0,2.510526392E-4
6.042925610E0,1.217449681E-4
6.063763284E0,1.634376385E-4
6.084600959E0,2.271668636E-4
6.105438633E0,1.412688434E-4
6.126276308E0,2.465556900E-4
6.147113982E0,6.016788393E-5
6.167951657E0,2.662238549E-4
6.188789331E0,1.354143169E-4
6.209627006E0,2.406965505E-4
6.230464680E0,2.407838183E-4
6.251302355E0,1.985012495E-4
6.272140029E0,3.203171946E-4
