relative_time,DecibelSource,PitchSensor
25058,28.9707700320942,99.5606398809524
25125,27.193312869837264,0.0
25192,28.432327780980096,0.0
25258,25.910646070264992,0.0
25325,20.0,0.0
25392,24.771212547196626,0.0
25458,23.07496037913213,0.0
25525,45.202083268859916,0.0
25592,30.982975364946977,
25658,51.029822305182634,284.21875
25725,47.91620482692814,159.296875
25792,33.93399695293102,
25858,50.59408149750049,
25925,50.24387139816889,75.18787202380952
25992,33.30413773349191,107.25384424603175
26058,45.76110894120839,128.1640625
26125,41.180993120779945,128.1640625
26192,27.641761323903307,129.95442708333334
26258,48.188326897570015,0.0
26325,48.01232153830292,
26392,39.78728177138492,122.87134951636907
26458,34.08239965311849,122.87134951636907
26525,45.2755257152753,113.51302083333334
26592,52.50432201420758,145.20979817708337
26658,44.747842644521356,153.49423363095238
26725,43.961121306114784,153.49423363095238
26792,43.99396792103312,
26858,32.17220655644519,108.06119791666667
26925,35.77606677362536,
26992,39.010221732480794,114.49962797619048
27058,36.80335513414563,114.49962797619048
27125,33.38456493604605,82.20703125
27192,47.58101563554099,117.73081420068027
27258,35.238764756381315,119.23502604166667
27325,32.69045709657623,119.23502604166667
27392,51.70766142952492,119.51348586309524
27458,51.41299233701602,124.91305803571427
27525,42.70678836144707,123.87434895833333
27592,36.16055194976586,107.60664682539681
27658,30.216027160282422,107.60664682539681
27725,31.841233542396715,0.0
27792,46.42197332123195,
27858,42.60357641636152,115.08138020833333
27925,31.601682929585124,104.61588541666666
27992,26.009728956867484,104.61588541666666
28058,22.87801729930226,0.0
28125,26.020599913279625,0.0
28192,25.237464668115646,0.0
28258,23.180633349627616,0.0
28325,23.710678622717364,0.0
28393,24.533183400470374,0.0
28458,26.294095991027188,0.0
28525,28.109042806687007,0.0
28592,43.388547462523235,0.0
28658,47.1622043660703,
28725,45.50167180510179,136.484375
28792,44.46148675696183,159.0625
28859,41.73069663637268,159.0625
28925,42.48120459883603,
28992,47.87113183500843,506.09375
29059,44.35780681772596,
29125,38.77946951629188,44.95535714285714
29192,53.7987272202903,44.95535714285714
29259,48.9981503268885,
29325,37.27866449467489,172.44791666666669
29393,52.61312839529136,
29458,45.69373909615046,
29525,33.21184027302314,118.00362723214286
29592,41.11396949345607,169.12109375
29659,38.38723190031372,107.109375
29726,40.912447659079604,93.68587239583333
29792,41.101855274111614,93.68587239583333
29859,32.395497208404734,98.43284970238095
29925,33.58125285276648,104.53125
29993,47.22494070355788,141.453125
30058,39.99869692108268,
30125,32.28913405994688,
30193,28.169038393756605,170.8984375
30259,26.51278013998144,0.0
30325,24.756711883244297,0.0
30392,23.72912002970107,0.0
30460,32.32996110392153,0.0
30525,47.5447065495754,0.0
30593,46.14928838266458,
30659,49.82076661723761,302.578125
30725,48.28472993712464,302.578125
30793,43.87763443621557,
30859,46.780264464046546,132.91015625
30925,39.150831016512,107.16145833333334
30992,45.220789073568774,107.16145833333334
31061,41.016783510279694,137.9123263888889
31125,37.56864224060549,119.61458333333333
31193,38.37840861655523,
31259,43.50519367597538,128.1640625
31325,37.97682934914899,128.1640625
31392,43.386556655787,122.05729166666667
31459,36.6576855071938,120.43619791666667
31526,48.956490273535884,158.6328125
31593,45.0634264897359,
31659,33.80211241711606,
31725,40.46963154123424,97.37723214285714
31793,44.032578257871116,
31860,39.73451144024934,104.64313616071429
31926,26.344772701607315,104.64313616071429
31993,25.70542939881897,0.0
32059,25.45307116465824,0.0
32125,25.34026106056135,0.0
32192,24.487063199050798,0.0
32258,44.22458514031944,0.0
32325,45.6059998530754,
32392,41.39847614646311,131.77734375
32458,42.92366846636226,130.15625
32525,48.58711602157976,130.15625
32592,49.86897079531647,
32658,41.242106834362176,159.84375
32725,37.06973676176178,85.60807291666666
32792,52.60002181702147,
32858,45.02099226815287,
32925,39.117965904372525,133.359375
32992,39.04769625906595,106.984375
33059,47.97212124921249,156.77734375
33125,42.91679583982835,156.77734375
33192,34.68937805665461,130.56640625
33259,29.37016107464814,124.60503472222223
33325,44.05551248282309,
33392,42.971474718012686,272.03125
33459,39.03524064471262,272.03125
33525,44.032578257871116,137.94140625
33592,39.10997716310643,127.86458333333333
33659,38.89693791444185,121.50151909722223
33725,43.72175286115065,121.50151909722223
33792,47.8971464597693,
33858,37.39967696759509,131.80989583333331
33925,44.30091188033949,122.255859375
33992,36.956567599361904,123.50074404761905
34059,32.6030994579492,123.50074404761905
34125,48.22873888113453,
34192,31.781132523146315,530.234375
34259,32.253092817258626,0.0
34325,32.995072987004875,0.0
34392,39.29980590515515,
34458,38.81783955593385,112.7919921875
34525,35.04742636271688,113.46875
34592,26.739419986340877,114.638671875
34659,22.4551266781415,114.638671875
34725,26.665179805548807,0.0
34792,26.884198220027105,0.0
34859,28.363241157067517,0.0
34925,24.50249108319361,0.0
34992,25.158738437116792,0.0
35059,29.041743682841634,0.0
35125,23.926969532596658,0.0
35192,25.943925503754265,0.0
35259,27.60422483423212,0.0
35325,23.242824552976927,0.0
35392,42.137567524064835,0.0
35459,43.24508805747058,
35525,49.7513758350286,206.53571428571428
35592,32.76461804173244,206.53571428571428
35659,32.57678574869185,212.61160714285714
35725,28.704039052790268,0.0
