Delay (ms),Autocorrelation (a.u.),sensor,language,tone,participant,script
4.480100021,-4.918662874e-08,autocorrelations,en,bus,duru,t1
4.500937695,-4.944888091e-08,autocorrelations,en,bus,duru,t1
4.52177537,-4.96059835e-08,autocorrelations,en,bus,duru,t1
4.542613044,-4.976742305e-08,autocorrelations,en,bus,duru,t1
4.563450719,-5.005254018e-08,autocorrelations,en,bus,duru,t1
4.584288393,-5.04319308e-08,autocorrelations,en,bus,duru,t1
4.605126068,-5.045372421e-08,autocorrelations,en,bus,duru,t1
4.625963742,-5.109620542e-08,autocorrelations,en,bus,duru,t1
4.646801417,-5.130942358e-08,autocorrelations,en,bus,duru,t1
4.667639091,-5.130720377e-08,autocorrelations,en,bus,duru,t1
4.688476766,-5.161807022e-08,autocorrelations,en,bus,duru,t1
4.709314441,-5.189364407e-08,autocorrelations,en,bus,duru,t1
4.730152115,-5.236545994e-08,autocorrelations,en,bus,duru,t1
4.75098979,-5.252826356e-08,autocorrelations,en,bus,duru,t1
4.771827464,-5.26440731e-08,autocorrelations,en,bus,duru,t1
4.792665139,-5.292622637e-08,autocorrelations,en,bus,duru,t1
4.813502813,-5.328167995e-08,autocorrelations,en,bus,duru,t1
4.834340488,-5.335389635e-08,autocorrelations,en,bus,duru,t1
4.855178162,-5.375976463e-08,autocorrelations,en,bus,duru,t1
4.876015837,-5.399549655e-08,autocorrelations,en,bus,duru,t1
4.896853511,-5.40921944e-08,autocorrelations,en,bus,duru,t1
4.917691186,-5.441054206e-08,autocorrelations,en,bus,duru,t1
4.93852886,-5.453574358e-08,autocorrelations,en,bus,duru,t1
4.959366535,-5.483615887e-08,autocorrelations,en,bus,duru,t1
4.980204209,-5.512588368e-08,autocorrelations,en,bus,duru,t1
5.001041884,-5.496396242e-08,autocorrelations,en,bus,duru,t1
5.021879558,-5.51570126e-08,autocorrelations,en,bus,duru,t1
5.042717233,-5.538100087e-08,autocorrelations,en,bus,duru,t1
5.063554907,-5.505471401e-08,autocorrelations,en,bus,duru,t1
5.084392582,-5.514141012e-08,autocorrelations,en,bus,duru,t1
5.105230256,-5.506028132e-08,autocorrelations,en,bus,duru,t1
5.126067931,-5.528587663e-08,autocorrelations,en,bus,duru,t1
5.146905605,-5.521169867e-08,autocorrelations,en,bus,duru,t1
5.16774328,-5.530259737e-08,autocorrelations,en,bus,duru,t1
5.188580954,-5.535670059e-08,autocorrelations,en,bus,duru,t1
5.209418629,-5.525055822e-08,autocorrelations,en,bus,duru,t1
5.230256303,-5.513454209e-08,autocorrelations,en,bus,duru,t1
5.251093978,-5.531478624e-08,autocorrelations,en,bus,duru,t1
5.271931652,-5.540765096e-08,autocorrelations,en,bus,duru,t1
5.292769327,-5.494659784e-08,autocorrelations,en,bus,duru,t1
5.313607001,-5.501831653e-08,autocorrelations,en,bus,duru,t1
5.334444676,-5.487732189e-08,autocorrelations,en,bus,duru,t1
5.35528235,-5.464606445e-08,autocorrelations,en,bus,duru,t1
5.376120025,-5.416229256e-08,autocorrelations,en,bus,duru,t1
5.3969577,-5.402819448e-08,autocorrelations,en,bus,duru,t1
5.417795374,-5.392562844e-08,autocorrelations,en,bus,duru,t1
5.438633049,-5.389072738e-08,autocorrelations,en,bus,duru,t1
5.459470723,-5.341149331e-08,autocorrelations,en,bus,duru,t1
5.480308398,-5.294846981e-08,autocorrelations,en,bus,duru,t1
5.501146072,-5.272998125e-08,autocorrelations,en,bus,duru,t1
5.521983747,-5.229022005e-08,autocorrelations,en,bus,duru,t1
5.542821421,-5.200288345e-08,autocorrelations,en,bus,duru,t1
5.563659096,-5.1566466e-08,autocorrelations,en,bus,duru,t1
5.58449677,-5.132651872e-08,autocorrelations,en,bus,duru,t1
5.605334445,-5.109427623e-08,autocorrelations,en,bus,duru,t1
5.626172119,-5.08680989e-08,autocorrelations,en,bus,duru,t1
5.647009794,-5.03993776e-08,autocorrelations,en,bus,duru,t1
5.667847468,-4.98508508e-08,autocorrelations,en,bus,duru,t1
5.688685143,-4.975200489e-08,autocorrelations,en,bus,duru,t1
5.709522817,-4.946586309e-08,autocorrelations,en,bus,duru,t1
5.730360492,-4.917156795e-08,autocorrelations,en,bus,duru,t1
5.751198166,-4.870730603e-08,autocorrelations,en,bus,duru,t1
5.772035841,-4.823419068e-08,autocorrelations,en,bus,duru,t1
5.792873515,-4.780535207e-08,autocorrelations,en,bus,duru,t1
5.81371119,-4.736746578e-08,autocorrelations,en,bus,duru,t1
5.834548864,-4.725946954e-08,autocorrelations,en,bus,duru,t1
5.855386539,-4.682580265e-08,autocorrelations,en,bus,duru,t1
5.876224213,-4.62146668e-08,autocorrelations,en,bus,duru,t1
5.897061888,-4.568614539e-08,autocorrelations,en,bus,duru,t1
5.917899562,-4.507304294e-08,autocorrelations,en,bus,duru,t1
5.938737237,-4.472823634e-08,autocorrelations,en,bus,duru,t1
5.959574911,-4.398693877e-08,autocorrelations,en,bus,duru,t1
5.980412586,-4.323912174e-08,autocorrelations,en,bus,duru,t1
6.00125026,-4.274403207e-08,autocorrelations,en,bus,duru,t1
6.022087935,-4.242193941e-08,autocorrelations,en,bus,duru,t1
6.04292561,-4.173151141e-08,autocorrelations,en,bus,duru,t1
6.063763284,-4.114384436e-08,autocorrelations,en,bus,duru,t1
6.084600959,-4.071334068e-08,autocorrelations,en,bus,duru,t1
6.105438633,-4.022706003e-08,autocorrelations,en,bus,duru,t1
6.126276308,-3.994208142e-08,autocorrelations,en,bus,duru,t1
6.147113982,-3.935825018e-08,autocorrelations,en,bus,duru,t1
6.167951657,-3.870881823e-08,autocorrelations,en,bus,duru,t1
6.188789331,-3.792817907e-08,autocorrelations,en,bus,duru,t1
6.209627006,-3.715360604e-08,autocorrelations,en,bus,duru,t1
6.23046468,-3.669319902e-08,autocorrelations,en,bus,duru,t1
6.251302355,-3.63967071e-08,autocorrelations,en,bus,duru,t1
6.272140029,-3.565750332e-08,autocorrelations,en,bus,duru,t1
6.292977704,-3.474653132e-08,autocorrelations,en,bus,duru,t1
6.313815378,-3.402609911e-08,autocorrelations,en,bus,duru,t1
6.334653053,-3.348639089e-08,autocorrelations,en,bus,duru,t1
6.355490727,-3.287931272e-08,autocorrelations,en,bus,duru,t1
6.376328402,-3.186515837e-08,autocorrelations,en,bus,duru,t1
6.397166076,-3.102321933e-08,autocorrelations,en,bus,duru,t1
6.418003751,-3.044566476e-08,autocorrelations,en,bus,duru,t1
6.438841425,-2.969987898e-08,autocorrelations,en,bus,duru,t1
6.4596791,-2.892845557e-08,autocorrelations,en,bus,duru,t1
6.480516774,-2.778988555e-08,autocorrelations,en,bus,duru,t1
6.501354449,-2.686641513e-08,autocorrelations,en,bus,duru,t1
6.522192123,-2.608014549e-08,autocorrelations,en,bus,duru,t1
6.543029798,-2.521629571e-08,autocorrelations,en,bus,duru,t1
6.563867472,-2.414191613e-08,autocorrelations,en,bus,duru,t1
6.584705147,-2.292582199e-08,autocorrelations,en,bus,duru,t1
6.605542821,-2.198486344e-08,autocorrelations,en,bus,duru,t1
6.626380496,-2.111725107e-08,autocorrelations,en,bus,duru,t1
6.64721817,-2.021246412e-08,autocorrelations,en,bus,duru,t1
6.668055845,-1.898941784e-08,autocorrelations,en,bus,duru,t1
6.688893519,-1.779348024e-08,autocorrelations,en,bus,duru,t1
6.709731194,-1.684054999e-08,autocorrelations,en,bus,duru,t1
6.730568869,-1.593649567e-08,autocorrelations,en,bus,duru,t1
6.751406543,-1.494839315e-08,autocorrelations,en,bus,duru,t1
6.772244218,-1.390448995e-08,autocorrelations,en,bus,duru,t1
6.793081892,-1.270004253e-08,autocorrelations,en,bus,duru,t1
6.813919567,-1.21099002e-08,autocorrelations,en,bus,duru,t1
6.834757241,-1.131332011e-08,autocorrelations,en,bus,duru,t1
6.855594916,-1.008394673e-08,autocorrelations,en,bus,duru,t1
6.87643259,-9.389690038e-09,autocorrelations,en,bus,duru,t1
6.897270265,-8.426708352e-09,autocorrelations,en,bus,duru,t1
6.918107939,-7.720514065e-09,autocorrelations,en,bus,duru,t1
6.938945614,-7.027555411e-09,autocorrelations,en,bus,duru,t1
6.959783288,-5.966637148e-09,autocorrelations,en,bus,duru,t1
6.980620963,-5.182241739e-09,autocorrelations,en,bus,duru,t1
7.001458637,-4.250619654e-09,autocorrelations,en,bus,duru,t1
7.022296312,-3.19900853e-09,autocorrelations,en,bus,duru,t1
7.043133986,-2.655166847e-09,autocorrelations,en,bus,duru,t1
7.063971661,-1.768281149e-09,autocorrelations,en,bus,duru,t1
7.084809335,-9.889559895e-10,autocorrelations,en,bus,duru,t1
7.10564701,-4.114611958e-11,autocorrelations,en,bus,duru,t1
7.126484684,9.417680947e-10,autocorrelations,en,bus,duru,t1
7.147322359,1.498014704e-09,autocorrelations,en,bus,duru,t1
7.168160033,2.013128151e-09,autocorrelations,en,bus,duru,t1
7.188997708,2.748394588e-09,autocorrelations,en,bus,duru,t1
7.209835382,3.576412509e-09,autocorrelations,en,bus,duru,t1
7.230673057,3.991113562e-09,autocorrelations,en,bus,duru,t1
7.251510731,4.749284908e-09,autocorrelations,en,bus,duru,t1
7.272348406,5.064210351e-09,autocorrelations,en,bus,duru,t1
7.29318608,6.193818336e-09,autocorrelations,en,bus,duru,t1
7.314023755,6.785948281e-09,autocorrelations,en,bus,duru,t1
7.334861429,7.016745081e-09,autocorrelations,en,bus,duru,t1
7.355699104,7.720951059e-09,autocorrelations,en,bus,duru,t1
7.376536778,8.52036566e-09,autocorrelations,en,bus,duru,t1
7.397374453,9.210560265e-09,autocorrelations,en,bus,duru,t1
