"Time (ms)","Recording (a.u.)"
6.751406543E0,3.828879271E-4
6.772244218E0,3.985743388E-4
6.793081892E0,3.991616250E-4
6.813919567E0,2.655257122E-4
6.834757241E0,2.478380338E-4
6.855594916E0,3.735522623E-4
6.876432590E0,5.686030490E-4
6.897270265E0,6.494260160E-4
6.918107939E0,5.004720297E-4
6.938945614E0,3.628407430E-4
6.959783288E0,2.755576570E-4
6.980620963E0,2.406684944E-4
7.001458637E0,3.490470990E-4
7.022296312E0,4.483171797E-4
7.043133986E0,4.961281084E-4
7.063971661E0,6.164738443E-4
7.084809335E0,4.347565700E-4
7.105647010E0,2.443252597E-4
7.126484684E0,3.447643539E-4
7.147322359E0,3.729567397E-4
7.168160033E0,4.303031310E-4
7.188997708E0,6.403628504E-4
7.209835382E0,7.815294084E-4
7.230673057E0,5.850198213E-4
7.251510731E0,4.692708899E-4
7.272348406E0,4.049931886E-4
7.293186080E0,2.384861582E-4
7.314023755E0,2.308134281E-4
7.334861429E0,3.131810809E-4
7.355699104E0,6.807538448E-4
7.376536778E0,7.919492782E-4
7.397374453E0,6.236584159E-4
7.418212128E0,6.411097711E-4
7.439049802E0,6.106084911E-4
7.459887477E0,4.331175587E-4
7.480725151E0,2.233992564E-4
7.501562826E0,4.700883292E-4
7.522400500E0,6.739801029E-4
7.543238175E0,6.045288173E-4
7.564075849E0,6.951583782E-4
7.584913524E0,7.661529817E-4
7.605751198E0,7.207905874E-4
7.626588873E0,4.516889749E-4
7.647426547E0,4.735601542E-4
7.668264222E0,7.249279297E-4
7.689101896E0,6.177707110E-4
7.709939571E0,5.388644640E-4
7.730777245E0,7.102747913E-4
7.751614920E0,7.058648625E-4
7.772452594E0,4.871585115E-4
7.793290269E0,5.682763294E-4
7.814127943E0,7.305867039E-4
7.834965618E0,6.564073265E-4
7.855803292E0,6.388315232E-4
7.876640967E0,7.842325140E-4
7.897478641E0,8.216175484E-4
7.918316316E0,7.066171966E-4
7.939153990E0,6.942563341E-4
7.959991665E0,7.047532708E-4
7.980829339E0,6.111278199E-4
8.001667014E0,4.618124221E-4
8.022504688E0,5.784344394E-4
8.043342363E0,8.408074500E-4
8.064180038E0,8.652016986E-4
8.085017712E0,8.965404704E-4
8.105855387E0,8.444935083E-4
8.126693061E0,5.228847731E-4
8.147530736E0,4.217418318E-4
8.168368410E0,7.650330663E-4
8.189206085E0,9.565472137E-4
8.210043759E0,9.358800016E-4
8.230881434E0,9.190216660E-4
8.251719108E0,5.814844044E-4
8.272556783E0,2.030719479E-4
8.293394457E0,2.269021643E-4
8.314232132E0,5.091798375E-4
8.335069806E0,6.748779560E-4
8.355907481E0,7.203060086E-4
8.376745155E0,7.075472968E-4
8.397582830E0,4.545405973E-4
8.418420504E0,3.201692598E-4
8.439258179E0,4.412124690E-4
8.460095853E0,5.627046921E-4
8.480933528E0,6.122200284E-4
8.501771202E0,5.142224254E-4
8.522608877E0,5.293908180E-4
8.543446551E0,6.590152625E-4
8.564284226E0,6.059398875E-4
8.585121900E0,6.770666805E-4
8.605959575E0,7.218309911E-4
8.626797249E0,4.762283352E-4
8.647634924E0,5.990064819E-4
8.668472598E0,7.629159372E-4
8.689310273E0,5.916705122E-4
8.710147947E0,5.678178859E-4
8.730985622E0,5.386115517E-4
8.751823297E0,5.906935548E-4
8.772660971E0,6.320729153E-4
8.793498646E0,6.616060855E-4
8.814336320E0,7.481561042E-4
8.835173995E0,5.219549639E-4
8.856011669E0,5.329282722E-4
8.876849344E0,6.030249642E-4
8.897687018E0,3.490006202E-4
8.918524693E0,3.747525043E-4
8.939362367E0,4.706216860E-4
8.960200042E0,4.132020404E-4
8.981037716E0,4.305660841E-4
9.001875391E0,4.506256955E-4
9.022713065E0,4.145546118E-4
9.043550740E0,3.836302203E-4
9.064388414E0,3.897454590E-4
9.085226089E0,2.782341326E-4
9.106063763E0,1.596563961E-4
9.126901438E0,3.503057524E-4
9.147739112E0,4.742337624E-4
9.168576787E0,4.355999117E-4
9.189414461E0,5.393307656E-4
9.210252136E0,3.993150021E-4
9.231089810E0,2.056928788E-4
9.251927485E0,3.112556296E-4
9.272765159E0,3.887109342E-4
9.293602834E0,6.116654840E-4
9.314440508E0,7.855576114E-4
9.335278183E0,5.791286239E-4
9.356115857E0,3.624945530E-4
9.376953532E0,1.631557825E-4
9.397791207E0,1.418162428E-4
9.418628881E0,3.802034189E-4
9.439466556E0,5.795886973E-4
9.460304230E0,5.002591060E-4
9.481141905E0,2.363068052E-4
9.501979579E0,2.051980846E-4
9.522817254E0,6.829034828E-5
9.543654928E0,2.109052439E-4
9.564492603E0,7.619005046E-4
9.585330277E0,7.066603284E-4
9.606167952E0,4.399539321E-4
9.627005626E0,2.491635387E-4
9.647843301E0,1.547786960E-4
9.668680975E0,3.052962711E-4
9.689518650E0,5.591545487E-4
9.710356324E0,7.775897393E-4
9.731193999E0,5.338306655E-4
9.752031673E0,4.329460789E-4
9.772869348E0,5.532305804E-4
9.793707022E0,5.606837803E-4
9.814544697E0,7.881384809E-4
9.835382371E0,8.201169549E-4
9.856220046E0,6.490142550E-4
9.877057720E0,3.924139019E-4
9.897895395E0,2.307149989E-4
9.918733069E0,3.494039993E-4
9.939570744E0,4.671044298E-4
9.960408418E0,7.554604090E-4
9.981246093E0,7.279431447E-4
1.000208377E1,3.742910048E-4
1.002292144E1,3.451088851E-4
1.004375912E1,2.240176691E-4
1.006459679E1,3.110601974E-4
1.008543447E1,7.938154740E-4
1.010627214E1,8.144896128E-4
1.012710981E1,6.047376664E-4
1.014794749E1,2.996075491E-4
1.016878516E1,-1.253376540E-4
1.018962284E1,3.584168735E-5
1.021046051E1,3.830991627E-4
1.023129819E1,4.928868730E-4
1.025213586E1,5.476186052E-4
1.027297354E1,4.086650442E-4
1.029381121E1,2.108898916E-4
1.031464889E1,2.875395876E-4
1.033548656E1,5.142612499E-4
1.035632423E1,5.156312254E-4
1.037716191E1,5.743349320E-4
1.039799958E1,5.727602984E-4
1.041883726E1,3.519953752E-4
1.043967493E1,3.695480991E-4
1.046051261E1,4.674086231E-4
1.048135028E1,5.039320095E-4
1.050218796E1,4.360879539E-4
1.052302563E1,4.069647403E-4
1.054386330E1,4.940163344E-4
1.056470098E1,5.689834361E-4
1.058553865E1,7.010054542E-4
1.060637633E1,8.088388713E-4
1.062721400E1,7.514366880E-4
1.064805168E1,3.646662226E-4
1.066888935E1,3.538134333E-4
1.068972703E1,6.834870437E-4
1.071056470E1,5.932870554E-4
1.073140238E1,6.647373084E-4
1.075224005E1,8.118397091E-4
1.077307772E1,6.190165877E-4
1.079391540E1,3.219112405E-4
1.081475307E1,2.850265300E-4
1.083559075E1,5.658522714E-4
1.085642842E1,6.001928123E-4
1.087726610E1,6.727365544E-4
1.089810377E1,7.918484043E-4
1.091894145E1,5.697441520E-4
1.093977912E1,4.471162392E-4
1.096061680E1,4.356478166E-4
1.098145447E1,4.984469851E-4
1.100229214E1,6.138959434E-4
1.102312982E1,7.093381719E-4
1.104396749E1,8.291325066E-4
1.106480517E1,7.525888504E-4
1.108564284E1,6.404249580E-4
1.110648052E1,5.973706720E-4
1.112731819E1,5.471507320E-4
1.114815587E1,5.146655603E-4
1.116899354E1,6.300986861E-4
1.118983121E1,8.160049911E-4
1.121066889E1,7.942018565E-4
1.123150656E1,7.981457748E-4
1.125234424E1,7.515601465E-4
1.127318191E1,6.763475831E-4
1.129401959E1,7.397482404E-4
1.131485726E1,7.849825779E-4
1.133569494E1,9.133130661E-4
1.135653261E1,9.334860370E-4
1.137737029E1,8.801312651E-4
1.139820796E1,8.245758945E-4
1.141904563E1,6.596160820E-4
1.143988331E1,6.108378875E-4
1.146072098E1,6.147752283E-4
1.148155866E1,7.155850763E-4
1.150239633E1,8.152696537E-4
1.152323401E1,7.039981429E-4
1.154407168E1,5.566727486E-4
1.156490936E1,4.616896040E-4
1.158574703E1,5.399428774E-4
1.160658471E1,5.259534810E-4
1.162742238E1,4.432670539E-4
1.164826005E1,6.226349506E-4
1.166909773E1,5.393672036E-4
1.168993540E1,3.089281963E-4
1.171077308E1,3.585249651E-4
1.173161075E1,3.907260834E-4
1.175244843E1,4.742297751E-4
1.177328610E1,5.886212457E-4
1.179412378E1,6.337885279E-4
1.181496145E1,7.468995173E-4
1.183579912E1,6.725239800E-4
1.185663680E1,5.313248257E-4
1.187747447E1,5.993660889E-4
1.189831215E1,5.380732473E-4
1.191914982E1,4.530466394E-4
1.193998750E1,5.486663431E-4
1.196082517E1,7.609207532E-4
1.198166285E1,9.221002692E-4
1.200250052E1,7.676213281E-4
1.202333820E1,7.265620516E-4
1.204417587E1,6.420978461E-4
1.206501354E1,3.411677608E-4
1.208585122E1,4.353009281E-4
1.210668889E1,6.098955637E-4
1.212752657E1,6.227888516E-4
1.214836424E1,5.965032615E-4
1.216920192E1,4.937425838E-4
1.219003959E1,4.669855698E-4
1.221087727E1,5.492155906E-4
1.223171494E1,6.886746269E-4
1.225255262E1,6.793580251E-4
1.227339029E1,5.435549538E-4
1.229422796E1,4.910037387E-4
1.231506564E1,4.409501562E-4
1.233590331E1,4.904987873E-4
1.235674099E1,6.674118340E-4
1.237757866E1,6.060758606E-4
1.239841634E1,4.902206128E-4
1.241925401E1,5.741907516E-4
1.244009169E1,5.354089662E-4
1.246092936E1,5.039783427E-4
1.248176703E1,5.862425314E-4
1.250260471E1,5.850457237E-4
1.252344238E1,5.363092059E-4
1.254428006E1,5.599467549E-4
1.256511773E1,6.330484175E-4
1.258595541E1,5.389927537E-4
1.260679308E1,6.197118200E-4
1.262763076E1,7.731448859E-4
1.264846843E1,7.036193274E-4
1.266930611E1,8.096746169E-4
1.269014378E1,7.085058605E-4
1.271098145E1,4.974932526E-4
1.273181913E1,5.336548202E-4
1.275265680E1,4.195173678E-4
1.277349448E1,4.420622136E-4
1.279433215E1,6.687095156E-4
1.281516983E1,6.625080714E-4
1.283600750E1,4.721064470E-4
1.285684518E1,3.882381134E-4
1.287768285E1,3.596841125E-4
1.289852053E1,2.382331004E-4
1.291935820E1,3.229772556E-4
1.294019587E1,5.632162793E-4
1.296103355E1,5.014828639E-4
1.298187122E1,4.121107340E-4
1.300270890E1,5.527769681E-4
1.302354657E1,4.475314927E-4
1.304438425E1,3.464233014E-4
1.306522192E1,5.192532553E-4
1.308605960E1,5.042834091E-4
1.310689727E1,4.522009986E-4
1.312773494E1,4.612332559E-4
1.314857262E1,4.258488771E-4
1.316941029E1,4.797747242E-4
1.319024797E1,5.077848909E-4
1.321108564E1,6.197764305E-4
1.323192332E1,6.688603316E-4
1.325276099E1,4.680927377E-4
1.327359867E1,4.868541146E-4
1.329443634E1,5.049420870E-4
1.331527402E1,4.268735647E-4
1.333611169E1,5.327351973E-4
1.335694936E1,5.757517065E-4
1.337778704E1,5.569664063E-4
1.339862471E1,4.153995251E-4
1.341946239E1,4.107728892E-4
1.344030006E1,5.112148356E-4
1.346113774E1,5.188358482E-4
1.348197541E1,7.046117680E-4
1.350281309E1,6.805635639E-4
1.352365076E1,7.188707823E-4
1.354448844E1,6.671434385E-4
1.356532611E1,3.901438322E-4
1.358616378E1,6.001744769E-4
1.360700146E1,6.217160844E-4
1.362783913E1,5.009321030E-4
1.364867681E1,5.574215902E-4
1.366951448E1,4.954843898E-4
1.369035216E1,4.419171019E-4
1.371118983E1,3.935037821E-4
1.373202751E1,5.944245495E-4
1.375286518E1,7.368925726E-4
1.377370285E1,6.205165992E-4
1.379454053E1,5.344786914E-4
1.381537820E1,4.744813195E-4
1.383621588E1,4.591910401E-4
1.385705355E1,4.535634653E-4
1.387789123E1,4.663175205E-4
1.389872890E1,4.669450864E-4
1.391956658E1,5.245014327E-4
1.394040425E1,6.080514286E-4
1.396124193E1,6.178355543E-4
1.398207960E1,6.978349993E-4
1.400291727E1,8.240191964E-4
1.402375495E1,7.692498039E-4
1.404459262E1,6.094465498E-4
1.406543030E1,5.565879401E-4
1.408626797E1,4.947726266E-4
1.410710565E1,4.720757424E-4
1.412794332E1,5.754301092E-4
1.414878100E1,6.794076762E-4
1.416961867E1,6.124271895E-4
1.419045635E1,4.894005833E-4
1.421129402E1,5.563942250E-4
1.423213169E1,5.769763375E-4
1.425296937E1,5.676539149E-4
1.427380704E1,5.561073776E-4
1.429464472E1,3.977471206E-4
1.431548239E1,3.298831289E-4
1.433632007E1,3.259963705E-4
1.435715774E1,3.866336774E-4
1.437799542E1,5.482278648E-4
1.439883309E1,5.523586879E-4
1.441967076E1,5.204252666E-4
1.444050844E1,5.809930153E-4
1.446134611E1,4.301909066E-4
1.448218379E1,3.093580017E-4
1.450302146E1,4.834407591E-4
1.452385914E1,4.784657503E-4
1.454469681E1,4.977468052E-4
1.456553449E1,6.316960789E-4
1.458637216E1,5.281794583E-4
1.460720984E1,4.669489572E-4
1.462804751E1,4.059872008E-4
1.464888518E1,3.882645688E-4
1.466972286E1,4.490962601E-4
1.469056053E1,4.431076813E-4
1.471139821E1,5.228946102E-4
1.473223588E1,5.129673518E-4
1.475307356E1,5.130352220E-4
1.477391123E1,5.542922299E-4
1.479474891E1,4.925844842E-4
1.481558658E1,5.346965045E-4
1.483642426E1,6.384293083E-4
1.485726193E1,7.208123570E-4
1.487809960E1,7.118496578E-4
1.489893728E1,6.706822896E-4
1.491977495E1,5.821551313E-4
1.494061263E1,3.869582724E-4
1.496145030E1,2.795381588E-4
1.498228798E1,2.752712462E-4
1.500312565E1,3.919059236E-4
1.502396333E1,5.061310949E-4
1.504480100E1,5.175197148E-4
1.506563867E1,4.217404057E-4
1.508647635E1,2.477590169E-4
1.510731402E1,2.413605689E-4
1.512815170E1,3.460309817E-4
1.514898937E1,3.726110444E-4
1.516982705E1,2.738109324E-4
1.519066472E1,1.559589291E-4
1.521150240E1,4.004512448E-5
1.523234007E1,-1.711981895E-5
1.525317775E1,1.612199412E-4
1.527401542E1,2.844856936E-4
1.529485309E1,2.357367630E-4
1.531569077E1,1.014347363E-4
1.533652844E1,-1.033919689E-4
1.535736612E1,-7.223021385E-5
1.537820379E1,1.270024659E-4
1.539904147E1,2.440395328E-4
1.541987914E1,1.822811901E-4
1.544071682E1,-4.380394239E-5
1.546155449E1,-1.693362574E-4
1.548239217E1,-2.731141576E-4
1.550322984E1,-2.254664141E-4
1.552406751E1,1.629813632E-4
1.554490519E1,3.935533168E-4
1.556574286E1,3.415633109E-4
1.558658054E1,1.881029020E-4
1.560741821E1,-4.234377411E-5
1.562825589E1,-2.038148377E-4
1.564909356E1,-2.068638423E-4
1.566993124E1,4.121131497E-5
1.569076891E1,3.991028643E-4
1.571160658E1,5.170726799E-4
1.573244426E1,3.912065877E-4
1.575328193E1,1.963885006E-4
1.577411961E1,1.302790770E-4
1.579495728E1,1.972850441E-4
1.581579496E1,2.796416520E-4
1.583663263E1,3.805175947E-4
1.585747031E1,3.880968143E-4
1.587830798E1,3.597952018E-4
1.589914566E1,3.357497044E-4
1.591998333E1,2.924056316E-4
1.594082100E1,3.515487188E-4
1.596165868E1,2.806264092E-4
1.598249635E1,1.279033022E-4
1.600333403E1,1.737604180E-4
1.602417170E1,1.646855671E-4
1.604500938E1,1.847788808E-4
1.606584705E1,3.200176288E-4
1.608668473E1,2.698614262E-4
1.610752240E1,2.050483163E-4
1.612836008E1,1.051696308E-4
1.614919775E1,-7.678403199E-5
1.617003542E1,-1.267760672E-5
1.619087310E1,6.038964784E-5
1.621171077E1,4.556003478E-5
1.623254845E1,1.324993500E-4
1.625338612E1,6.109556125E-6
1.627422380E1,-2.601533779E-4
1.629506147E1,-3.220334766E-4
1.631589915E1,-3.457057173E-4
1.633673682E1,-3.497949219E-4
1.635757449E1,-2.324788948E-4
1.637841217E1,-1.215703887E-4
1.639924984E1,-1.252517250E-4
1.642008752E1,-1.757220161E-4
1.644092519E1,-1.700027206E-4
1.646176287E1,-2.564445022E-4
1.648260054E1,-3.297592630E-4
1.650343822E1,-2.278644388E-4
1.652427589E1,-1.967849821E-4
1.654511357E1,-2.287484822E-4
1.656595124E1,-2.591322700E-4
1.658678891E1,-3.711373429E-4
1.660762659E1,-4.531017621E-4
1.662846426E1,-3.272803733E-4
1.664930194E1,-7.274402014E-5
1.667013961E1,2.296606544E-5
1.669097729E1,6.523998309E-5
1.671181496E1,-9.125767974E-6
1.673265264E1,-3.131706035E-4
1.675349031E1,-3.667050332E-4
1.677432798E1,-2.932420175E-4
1.679516566E1,-2.492551575E-4
1.681600333E1,-9.613727889E-5
1.683684101E1,-1.781159954E-4
